gene_names,ext_names,degree,closeness,betweenness,eigenvector,degRank,closeRank,eigRank,betRank,avgRank
ENSRNOG00000000021,Fbxl14-ps1,64.5769,2.4543,0.0080,0.0825,76.0000,28.0000,71.0000,35.0000,58.3333
ENSRNOG00000000047,Cd82,70.0237,2.4422,0.0091,0.0902,44.0000,30.0000,38.0000,29.0000,37.3333
ENSRNOG00000000082,Hltf,60.9112,1.9037,0.0003,0.0743,94.0000,113.0000,99.0000,110.0000,102.0000
ENSRNOG00000000095,Gpr89b,48.7265,1.7448,0.0071,0.0568,136.0000,131.0000,138.0000,42.0000,135.0000
ENSRNOG00000000130,Dnajb5,47.7926,1.6264,0.0005,0.0584,138.0000,141.0000,135.0000,108.0000,138.0000
ENSRNOG00000000164,Lamp2,78.3777,2.3365,0.0086,0.0980,13.0000,45.0000,14.0000,31.0000,24.0000
ENSRNOG00000000168,Gatm,65.6925,2.1116,0.0016,0.0814,69.0000,83.0000,75.0000,92.0000,75.6667
ENSRNOG00000000169,Afg2b,60.6161,1.8936,0.0009,0.0762,95.0000,116.0000,94.0000,101.0000,101.6667
ENSRNOG00000000185,Mpst,61.4768,2.3488,0.0051,0.0794,92.0000,43.0000,84.0000,57.0000,73.0000
ENSRNOG00000000186,Tst,73.0939,2.2280,0.0019,0.0907,32.0000,67.0000,34.0000,87.0000,44.3333
ENSRNOG00000000230,Lmf1,71.0640,2.2886,0.0048,0.0889,38.0000,57.0000,40.0000,60.0000,45.0000
ENSRNOG00000000387,Slc25a16,55.8029,2.0317,0.0017,0.0713,112.0000,89.0000,109.0000,91.0000,103.3333
ENSRNOG00000000396,Ddx50,50.7564,1.9121,0.0023,0.0638,129.0000,111.0000,125.0000,82.0000,121.6667
ENSRNOG00000000411,Nus1,58.0784,2.0115,0.0020,0.0729,107.0000,95.0000,105.0000,85.0000,102.3333
ENSRNOG00000000412,Slc35f1,54.5676,1.8101,0.0001,0.0689,115.0000,121.0000,115.0000,113.0000,117.0000
ENSRNOG00000000432,Fkbpl,43.3292,1.6362,0.0012,0.0515,144.0000,139.0000,143.0000,98.0000,142.0000
ENSRNOG00000000466,Hsd17b8,70.4489,2.3274,0.0110,0.0867,41.0000,47.0000,49.0000,24.0000,45.6667
ENSRNOG00000000493,Snrpc,49.9990,1.6565,0.0042,0.0579,131.0000,137.0000,137.0000,64.0000,135.0000
ENSRNOG00000000529,Pim1,56.0093,1.8059,0.0022,0.0691,111.0000,122.0000,112.0000,83.0000,115.0000
ENSRNOG00000000613,Tfam,75.5480,2.6025,0.0262,0.0963,21.0000,15.0000,18.0000,7.0000,18.0000
ENSRNOG00000000635,Arid5b,63.5955,1.9894,0.0001,0.0809,79.0000,99.0000,77.0000,113.0000,85.0000
ENSRNOG00000000640,Egr2,41.3767,1.5218,0.0022,0.0475,149.0000,158.0000,149.0000,83.0000,152.0000
ENSRNOG00000000645,Reep3,70.9587,2.6251,0.0068,0.0906,39.0000,12.0000,36.0000,44.0000,29.0000
ENSRNOG00000000805,Gja1,50.4469,1.7815,0.0001,0.0628,130.0000,127.0000,127.0000,113.0000,128.0000
ENSRNOG00000000808,Hsf2,80.6367,2.7564,0.0451,0.1004,7.0000,3.0000,8.0000,2.0000,6.0000
ENSRNOG00000000824,Dse,80.4118,2.4626,0.0075,0.1020,9.0000,26.0000,6.0000,38.0000,13.6667
ENSRNOG00000000841,Ddx39b,83.1837,2.5431,0.0132,0.1037,3.0000,20.0000,3.0000,20.0000,8.6667
ENSRNOG00000000923,Cct6a,58.8865,1.9213,0.0006,0.0738,100.0000,109.0000,101.0000,106.0000,103.3333
ENSRNOG00000000968,Rnf6,58.4520,2.0224,0.0015,0.0721,104.0000,90.0000,106.0000,94.0000,100.0000
ENSRNOG00000000999,Smurf1,66.4572,2.3061,0.0113,0.0854,64.0000,53.0000,54.0000,23.0000,57.0000
ENSRNOG00000001037,Gpalpp1,67.2415,2.5895,0.0177,0.0852,61.0000,16.0000,56.0000,13.0000,44.3333
ENSRNOG00000001055,Rilpl1,80.4685,2.7610,0.0237,0.1027,8.0000,2.0000,5.0000,8.0000,5.0000
ENSRNOG00000001079,Daglb,73.4747,2.5324,0.0072,0.0936,30.0000,21.0000,25.0000,41.0000,25.3333
ENSRNOG00000001103,Sdk1,66.5604,2.3210,0.0020,0.0851,63.0000,49.0000,58.0000,86.0000,56.6667
ENSRNOG00000001106,Denr,65.8462,2.2706,0.0021,0.0843,68.0000,59.0000,63.0000,84.0000,63.3333
ENSRNOG00000001129,Fbxo21,51.8803,1.8974,0.0000,0.0668,123.0000,115.0000,118.0000,114.0000,118.6667
ENSRNOG00000001174,Pde9a,63.8782,2.1639,0.0084,0.0783,77.0000,71.0000,87.0000,32.0000,78.3333
ENSRNOG00000001199,Pop5,51.2786,1.9291,0.0018,0.0640,125.0000,108.0000,124.0000,90.0000,119.0000
ENSRNOG00000001214,Pfkl,53.7307,1.7993,0.0001,0.0671,117.0000,123.0000,117.0000,113.0000,119.0000
ENSRNOG00000001227,Adarb1,65.0382,2.3129,0.0075,0.0824,73.0000,52.0000,72.0000,38.0000,65.6667
ENSRNOG00000001238,Rsrc2,77.1723,2.3843,0.0014,0.0973,17.0000,38.0000,17.0000,95.0000,24.0000
ENSRNOG00000001256,Atxn2,80.0980,2.6406,0.0264,0.1000,11.0000,10.0000,10.0000,6.0000,10.3333
ENSRNOG00000001274,Vps29,74.7224,2.3631,0.0020,0.0951,26.0000,41.0000,23.0000,85.0000,30.0000
ENSRNOG00000001283,Anapc7,49.5851,1.6862,0.0003,0.0618,134.0000,136.0000,131.0000,110.0000,133.6667
