gene_names,ext_names,degree,closeness,betweenness,eigenvector,degRank,closeRank,eigRank,betRank,avgRank
ENSRNOG00000000034,Nuak2,155.6151,2.2447,0.0098,0.0475,213.0000,153.0000,203.0000,64.0000,189.6667
ENSRNOG00000000036,Klhdc8a,100.1001,1.6814,0.0002,0.0284,419.0000,418.0000,415.0000,360.0000,417.3333
ENSRNOG00000000040,Kiaa1614,137.3426,1.9215,0.0001,0.0404,305.0000,326.0000,313.0000,364.0000,314.6667
ENSRNOG00000000081,Antxr2,181.7977,2.3871,0.0030,0.0551,92.0000,85.0000,93.0000,182.0000,90.0000
ENSRNOG00000000104,Thoc3,130.7781,1.8902,0.0010,0.0387,334.0000,341.0000,329.0000,288.0000,334.6667
ENSRNOG00000000129,Phf24,191.4448,2.3883,0.0108,0.0580,60.0000,82.0000,60.0000,52.0000,67.3333
ENSRNOG00000000142,Plxdc2,208.3633,2.4806,0.0023,0.0633,28.0000,54.0000,31.0000,218.0000,37.6667
ENSRNOG00000000150,Dnajc1,73.6667,1.5193,0.0000,0.0202,438.0000,439.0000,436.0000,380.0000,437.6667
ENSRNOG00000000155,Cog3,175.8710,2.2968,0.0059,0.0528,116.0000,119.0000,124.0000,106.0000,119.6667
ENSRNOG00000000157,Atg12,170.2033,1.9803,0.0004,0.0509,146.0000,292.0000,155.0000,344.0000,197.6667
ENSRNOG00000000221,Abhd5,150.9298,2.0871,0.0014,0.0446,246.0000,237.0000,255.0000,261.0000,246.0000
ENSRNOG00000000246,Amz2,177.5769,2.3646,0.0019,0.0544,107.0000,95.0000,99.0000,236.0000,100.3333
ENSRNOG00000000247,Mfsd11,73.9515,1.7206,0.0031,0.0195,436.0000,409.0000,437.0000,181.0000,427.3333
ENSRNOG00000000250,Jmjd6,254.4076,3.0013,0.0091,0.0763,1.0000,12.0000,1.0000,68.0000,4.6667
ENSRNOG00000000277,Tet1,186.7719,2.4438,0.0023,0.0573,81.0000,69.0000,66.0000,219.0000,72.0000
ENSRNOG00000000302,Sesn1,136.3901,1.9640,0.0030,0.0404,312.0000,301.0000,312.0000,183.0000,308.3333
ENSRNOG00000000304,Cd164,153.8782,2.2248,0.0037,0.0456,225.0000,171.0000,233.0000,161.0000,209.6667
ENSRNOG00000000307,Mical1,146.3777,2.1262,0.0027,0.0436,266.0000,212.0000,269.0000,198.0000,249.0000
ENSRNOG00000000314,Sec63,69.3044,1.5769,0.0003,0.0190,443.0000,432.0000,442.0000,348.0000,439.0000
ENSRNOG00000000321,Cd24,146.0712,2.2504,0.0090,0.0447,269.0000,145.0000,253.0000,69.0000,222.3333
ENSRNOG00000000322,Atg5,161.5996,2.0803,0.0019,0.0475,185.0000,241.0000,202.0000,239.0000,209.3333
ENSRNOG00000000395,Kifbp,191.8844,2.2767,0.0105,0.0572,59.0000,126.0000,68.0000,57.0000,84.3333
ENSRNOG00000000431,Atf6b,121.4427,1.6783,0.0003,0.0347,368.0000,419.0000,378.0000,350.0000,388.3333
ENSRNOG00000000457,Tap1,136.7214,1.8869,0.0001,0.0409,309.0000,343.0000,306.0000,366.0000,319.3333
ENSRNOG00000000463,Col11a2,154.0299,1.9342,0.0005,0.0463,223.0000,322.0000,216.0000,329.0000,253.6667
ENSRNOG00000000474,Ralgdsl2,112.6791,1.6354,0.0000,0.0339,395.0000,424.0000,392.0000,376.0000,403.6667
ENSRNOG00000000477,Daxx,208.6409,2.6764,0.0021,0.0639,27.0000,35.0000,27.0000,223.0000,29.6667
ENSRNOG00000000480,Phf1,199.3942,2.6729,0.0540,0.0597,38.0000,36.0000,46.0000,1.0000,40.0000
ENSRNOG00000000502,Def6,119.5036,1.7077,0.0002,0.0354,375.0000,413.0000,370.0000,358.0000,386.0000
ENSRNOG00000000503,Ppard,112.5552,1.7764,0.0009,0.0326,396.0000,393.0000,397.0000,295.0000,395.3333
ENSRNOG00000000520,Srsf3,165.2879,2.3405,0.0139,0.0504,173.0000,99.0000,162.0000,39.0000,144.6667
ENSRNOG00000000524,C20h6orf89,164.5418,2.2133,0.0038,0.0499,176.0000,177.0000,170.0000,159.0000,174.3333
ENSRNOG00000000528,Fgd2,218.4902,2.5355,0.0387,0.0653,14.0000,46.0000,19.0000,6.0000,26.3333
ENSRNOG00000000540,Btbd9,209.8989,2.9496,0.0028,0.0650,24.0000,16.0000,21.0000,195.0000,20.3333
