gene_names,ext_names,degree,closeness,betweenness,eigenvector,degRank,closeRank,eigRank,betRank,avgRank
ENSRNOG00000000010,Cbln1,23.5439,1.3482,0.0062,0.1171,13.0000,11.0000,11.0000,8.0000,10.7500
ENSRNOG00000000068,Ppp2r5a,19.7110,1.2350,0.0005,0.0972,52.0000,63.0000,50.0000,25.0000,47.5000
ENSRNOG00000000096,Pdzk1,18.3375,1.2253,0.0000,0.0937,71.0000,73.0000,61.0000,28.0000,58.2500
ENSRNOG00000000113,Elac1,19.5996,1.2301,0.0002,0.0950,56.0000,68.0000,56.0000,27.0000,51.7500
ENSRNOG00000000123,Rnf19b,17.5986,1.2542,0.0011,0.0871,84.0000,49.0000,80.0000,22.0000,58.7500
ENSRNOG00000000244,Coil,16.4572,1.1852,0.0000,0.0812,93.0000,95.0000,93.0000,28.0000,77.2500
ENSRNOG00000000275,Fam13c,25.7276,1.3547,0.0115,0.1248,7.0000,9.0000,8.0000,1.0000,6.2500
ENSRNOG00000000288,Scarf2,17.2487,1.2264,0.0004,0.0842,88.0000,72.0000,87.0000,26.0000,68.2500
ENSRNOG00000000368,Grik2,19.2301,1.2401,0.0002,0.0953,62.0000,61.0000,55.0000,27.0000,51.2500
ENSRNOG00000000485,Bak1,26.5428,1.4417,0.0108,0.1313,6.0000,3.0000,6.0000,3.0000,4.5000
ENSRNOG00000000501,Zfp523,3.1837,1.0336,0.0000,0.0116,106.0000,106.0000,106.0000,28.0000,86.5000
ENSRNOG00000000519,Stk38,23.0175,1.2962,0.0005,0.1120,16.0000,20.0000,15.0000,25.0000,19.0000
ENSRNOG00000000536,Mdga1,19.9278,1.2417,0.0005,0.0956,49.0000,60.0000,54.0000,25.0000,47.0000
ENSRNOG00000000557,Ppa1,24.2054,1.3379,0.0023,0.1175,10.0000,12.0000,10.0000,16.0000,12.0000
ENSRNOG00000000566,Pcbd1,19.9866,1.2608,0.0021,0.0996,46.0000,44.0000,45.0000,17.0000,38.0000
ENSRNOG00000000585,Amd1,20.5294,1.2761,0.0014,0.1007,37.0000,28.0000,39.0000,20.0000,31.0000
ENSRNOG00000000618,Mdga2,21.3994,1.2689,0.0002,0.1050,27.0000,37.0000,27.0000,27.0000,29.5000
ENSRNOG00000000655,Ptprc,16.5635,1.1945,0.0000,0.0806,92.0000,92.0000,94.0000,28.0000,76.5000
ENSRNOG00000000708,Sgsm1,23.1765,1.2949,0.0018,0.1113,15.0000,22.0000,17.0000,18.0000,18.0000
ENSRNOG00000000815,Smpdl3a,15.2776,1.1758,0.0000,0.0761,98.0000,98.0000,97.0000,28.0000,80.2500
ENSRNOG00000000839,Nfkbil1,18.9309,1.2189,0.0000,0.0928,66.0000,76.0000,63.0000,28.0000,58.2500
ENSRNOG00000000879,Slc9a6,16.9536,1.2033,0.0000,0.0883,90.0000,87.0000,77.0000,28.0000,70.5000
ENSRNOG00000000957,Rpl21,20.5046,1.2560,0.0009,0.1027,40.0000,48.0000,34.0000,23.0000,36.2500
ENSRNOG00000000988,Xab2,17.3540,1.1985,0.0000,0.0830,87.0000,90.0000,89.0000,28.0000,73.5000
ENSRNOG00000001134,Rfc5,22.5728,1.3158,0.0072,0.1015,19.0000,17.0000,37.0000,6.0000,19.7500
ENSRNOG00000001148,Rplp0,18.1373,1.2187,0.0004,0.0912,73.0000,77.0000,69.0000,26.0000,61.2500
