gene_names,ext_names,degree,closeness,betweenness,eigenvector,degRank,closeRank,eigRank,betRank,avgRank
ENSRNOG00000000007,Gad1,78.5284,1.9714,0.0349,0.0907,6.0000,2.0000,7.0000,1.0000,4.0000
ENSRNOG00000000098,Rnf115,50.0372,1.5550,0.0043,0.0567,187.0000,147.0000,187.0000,67.0000,147.0000
ENSRNOG00000000111,Coprs,46.2539,1.3859,0.0003,0.0516,215.0000,216.0000,220.0000,143.0000,198.5000
ENSRNOG00000000122,Ak2,18.8545,1.1941,0.0000,0.0205,226.0000,225.0000,226.0000,152.0000,207.2500
ENSRNOG00000000166,Apex2,50.9659,1.4930,0.0008,0.0575,177.0000,181.0000,175.0000,126.0000,164.7500
ENSRNOG00000000316,Sobp,67.1847,1.7728,0.0093,0.0786,31.0000,32.0000,27.0000,25.0000,28.7500
ENSRNOG00000000327,Hace1,53.8617,1.5654,0.0013,0.0607,134.0000,140.0000,150.0000,113.0000,134.2500
ENSRNOG00000000397,Ccar1,75.9195,1.7113,0.0051,0.0860,11.0000,54.0000,16.0000,54.0000,33.7500
ENSRNOG00000000473,Pfdn6,63.5707,1.7204,0.0043,0.0743,44.0000,50.0000,43.0000,66.0000,50.7500
ENSRNOG00000000483,Syngap1,49.9505,1.5419,0.0027,0.0553,188.0000,156.0000,198.0000,88.0000,157.5000
ENSRNOG00000000490,Rps10,75.1847,1.8605,0.0230,0.0864,13.0000,10.0000,14.0000,6.0000,10.7500
ENSRNOG00000000498,Anks1a,48.0557,1.3505,0.0000,0.0537,205.0000,222.0000,211.0000,152.0000,197.5000
ENSRNOG00000000505,Rpl10a,59.9288,1.6267,0.0010,0.0706,67.0000,98.0000,58.0000,122.0000,86.2500
ENSRNOG00000000511,Srpk1,56.7399,1.6677,0.0082,0.0629,100.0000,64.0000,126.0000,30.0000,80.0000
ENSRNOG00000000523,Ppil1,53.5170,1.5692,0.0001,0.0636,139.0000,136.0000,114.0000,149.0000,134.5000
ENSRNOG00000000551,Fam241b,50.9370,1.6039,0.0010,0.0601,178.0000,114.0000,153.0000,121.0000,141.5000
ENSRNOG00000000560,Lrrc20,52.4634,1.5018,0.0011,0.0588,157.0000,175.0000,169.0000,119.0000,155.0000
ENSRNOG00000000568,Slc29a3,67.6914,1.6616,0.0074,0.0766,28.0000,68.0000,35.0000,34.0000,41.2500
ENSRNOG00000000572,Chst3,62.6605,1.6442,0.0016,0.0721,48.0000,84.0000,51.0000,107.0000,72.5000
ENSRNOG00000000579,Marcks,57.8359,1.6181,0.0036,0.0649,89.0000,103.0000,101.0000,76.0000,92.2500
ENSRNOG00000000610,Cisd1,47.2931,1.4190,0.0017,0.0523,211.0000,209.0000,217.0000,103.0000,185.0000
ENSRNOG00000000633,Rhobtb1,49.9143,1.5110,0.0003,0.0569,190.0000,172.0000,185.0000,140.0000,171.7500
ENSRNOG00000000636,Rtkn2,54.6842,1.6492,0.0043,0.0621,128.0000,77.0000,137.0000,66.0000,102.0000
ENSRNOG00000000661,Hps4,87.1207,1.8421,0.0252,0.0998,1.0000,15.0000,1.0000,5.0000,5.5000
ENSRNOG00000000729,Tmlhe,54.4396,1.6331,0.0028,0.0631,131.0000,92.0000,123.0000,85.0000,107.7500
ENSRNOG00000000763,RT1-M3-1,51.4819,1.5569,0.0063,0.0566,168.0000,145.0000,189.0000,41.0000,135.7500
ENSRNOG00000000786,Rpp21,53.6976,1.5697,0.0026,0.0609,137.0000,135.0000,146.0000,91.0000,127.2500
ENSRNOG00000000796,Ranbp2,51.3901,1.7558,0.0046,0.0593,169.0000,38.0000,166.0000,62.0000,108.7500
ENSRNOG00000000800,Man1a1,53.2343,1.5340,0.0023,0.0604,146.0000,163.0000,152.0000,95.0000,139.0000
ENSRNOG00000000802,Tbc1d32,59.1269,1.6591,0.0011,0.0700,77.0000,70.0000,63.0000,119.0000,82.2500
ENSRNOG00000000853,Aif1,59.5686,1.7339,0.0107,0.0659,72.0000,45.0000,95.0000,17.0000,57.2500
ENSRNOG00000000867,Vars1,51.2962,1.5428,0.0010,0.0597,171.0000,153.0000,161.0000,122.0000,151.7500
ENSRNOG00000000893,Tmem248,59.8173,1.7013,0.0036,0.0701,69.0000,58.0000,62.0000,74.0000,65.7500
ENSRNOG00000000901,Crcp,47.0155,1.3768,0.0003,0.0528,212.0000,219.0000,214.0000,143.0000,197.0000
ENSRNOG00000000926,Mrps17,48.2281,1.5053,0.0003,0.0563,204.0000,174.0000,194.0000,140.0000,178.0000
ENSRNOG00000000936,Stx2,48.4014,1.4973,0.0002,0.0573,200.0000,178.0000,178.0000,147.0000,175.7500
ENSRNOG00000000963,Tmem132c,53.3096,1.6460,0.0025,0.0622,143.0000,81.0000,135.0000,93.0000,113.0000
ENSRNOG00000000964,Frg1l1,79.6429,1.7960,0.0055,0.0922,5.0000,24.0000,5.0000,48.0000,20.5000
ENSRNOG00000000985,Cpsf4l2,49.1342,1.4130,0.0000,0.0566,195.0000,211.0000,190.0000,151.0000,186.7500
ENSRNOG00000000987,Ptcd1,52.0980,1.5501,0.0001,0.0609,163.0000,148.0000,147.0000,149.0000,151.7500
ENSRNOG00000001003,Trappc5,75.4747,1.7835,0.0052,0.0873,12.0000,29.0000,13.0000,52.0000,26.5000
ENSRNOG00000001004,Ncor2,60.5562,1.6421,0.0002,0.0711,63.0000,86.0000,55.0000,147.0000,87.7500
ENSRNOG00000001040,Pms2,68.7843,1.9003,0.0171,0.0796,24.0000,7.0000,22.0000,9.0000,15.5000
ENSRNOG00000001060,Snrnp35,66.3406,1.7885,0.0129,0.0764,33.0000,27.0000,36.0000,15.0000,27.7500
ENSRNOG00000001074,Mphosph9,53.0196,1.4886,0.0005,0.0611,149.0000,185.0000,143.0000,136.0000,153.2500
ENSRNOG00000001099,Rbak,46.2126,1.4282,0.0005,0.0536,216.0000,204.0000,212.0000,137.0000,192.2500
ENSRNOG00000001101,Rnf216,49.9154,1.4959,0.0006,0.0570,189.0000,180.0000,181.0000,131.0000,170.2500
ENSRNOG00000001108,N4bp2l2,64.0330,1.6412,0.0003,0.0751,43.0000,88.0000,41.0000,140.0000,78.0000
ENSRNOG00000001114,Wipi2,47.5779,1.4800,0.0004,0.0545,209.0000,189.0000,203.0000,138.0000,184.7500
ENSRNOG00000001123,Spring1,50.5490,1.5701,0.0027,0.0564,179.0000,134.0000,193.0000,87.0000,148.2500
