gene_names,ext_names,degree,closeness,betweenness,eigenvector,degRank,closeRank,eigRank,betRank,avgRank
ENSRNOG00000000024,Hebp1,98.6213,1.7448,0.0000,0.0379,337.0000,343.0000,329.0000,314.0000,336.3333
ENSRNOG00000000033,Tmcc2,156.7441,2.3247,0.0039,0.0603,80.0000,101.0000,77.0000,123.0000,86.0000
ENSRNOG00000000042,Xpr1,109.6429,1.7208,0.0000,0.0406,314.0000,348.0000,318.0000,310.0000,326.6667
ENSRNOG00000000048,Gak,128.8204,2.1142,0.0017,0.0498,214.0000,183.0000,200.0000,200.0000,199.0000
ENSRNOG00000000053,Crp,127.3344,1.9510,0.0008,0.0486,221.0000,268.0000,220.0000,253.0000,236.3333
ENSRNOG00000000054,Abhd8,113.5934,1.9463,0.0006,0.0434,304.0000,269.0000,291.0000,262.0000,288.0000
ENSRNOG00000000062,Pcgf3,148.8700,2.3904,0.0031,0.0570,109.0000,81.0000,108.0000,144.0000,99.3333
ENSRNOG00000000066,Fbxo28,144.6089,2.3106,0.0135,0.0549,127.0000,104.0000,130.0000,38.0000,120.3333
ENSRNOG00000000112,Champ1,130.5924,1.9260,0.0013,0.0487,203.0000,280.0000,218.0000,218.0000,233.6667
ENSRNOG00000000150,Dnajc1,64.6440,1.6562,0.0001,0.0224,362.0000,350.0000,362.0000,309.0000,358.0000
ENSRNOG00000000156,Megf6,144.2807,2.0503,0.0022,0.0543,131.0000,206.0000,138.0000,171.0000,158.3333
ENSRNOG00000000161,Chm,135.4035,2.0525,0.0041,0.0511,176.0000,203.0000,178.0000,119.0000,185.6667
ENSRNOG00000000237,C10h17orf75,101.6914,1.7290,0.0007,0.0384,329.0000,346.0000,325.0000,259.0000,333.3333
ENSRNOG00000000248,Srsf2,180.0495,2.7787,0.0101,0.0690,15.0000,21.0000,15.0000,54.0000,17.0000
ENSRNOG00000000257,Smpd3,127.8235,2.0823,0.0001,0.0495,218.0000,195.0000,204.0000,303.0000,205.6667
ENSRNOG00000000258,Prmt7,137.4200,2.1198,0.0011,0.0525,167.0000,179.0000,166.0000,233.0000,170.6667
ENSRNOG00000000274,Phyhipl,91.2735,1.6480,0.0001,0.0339,347.0000,351.0000,346.0000,307.0000,348.0000
ENSRNOG00000000283,Ess2,121.6213,1.8924,0.0028,0.0452,258.0000,299.0000,267.0000,151.0000,274.6667
ENSRNOG00000000299,Foxo3,183.7379,2.9029,0.0322,0.0708,9.0000,13.0000,8.0000,15.0000,10.0000
ENSRNOG00000000312,Fig4,139.9340,2.1065,0.0003,0.0530,152.0000,185.0000,158.0000,292.0000,165.0000
ENSRNOG00000000340,Rtraf,167.2456,2.7761,0.0043,0.0654,42.0000,22.0000,35.0000,112.0000,33.0000
