gene_names,ext_names,degree,closeness,betweenness,eigenvector,degRank,closeRank,eigRank,betRank,avgRank
ENSRNOG00000000010,Cbln1,159.3591,2.0408,0.0001,0.0368,374.0000,349.0000,363.0000,446.0000,383.0000
ENSRNOG00000000034,Nuak2,190.5294,2.3102,0.0064,0.0440,216.0000,186.0000,212.0000,100.0000,178.5000
ENSRNOG00000000036,Klhdc8a,119.5046,1.7083,0.0002,0.0257,516.0000,511.0000,514.0000,430.0000,492.7500
ENSRNOG00000000040,Kiaa1614,161.3240,1.9362,0.0001,0.0360,365.0000,411.0000,383.0000,434.0000,398.2500
ENSRNOG00000000044,Tmem175,169.0258,2.3328,0.0165,0.0389,329.0000,158.0000,323.0000,30.0000,210.0000
ENSRNOG00000000068,Ppp2r5a,144.0485,1.8591,0.0006,0.0326,445.0000,446.0000,443.0000,357.0000,422.7500
ENSRNOG00000000081,Antxr2,228.7358,2.4434,0.0044,0.0522,83.0000,114.0000,86.0000,143.0000,106.5000
ENSRNOG00000000096,Pdzk1,212.3829,2.9972,0.0004,0.0511,137.0000,21.0000,97.0000,388.0000,160.7500
ENSRNOG00000000104,Thoc3,149.3777,1.8844,0.0007,0.0337,421.0000,433.0000,421.0000,352.0000,406.7500
ENSRNOG00000000113,Elac1,146.6636,2.0377,0.0015,0.0329,431.0000,352.0000,436.0000,277.0000,374.0000
ENSRNOG00000000123,Rnf19b,158.3354,2.1228,0.0008,0.0367,380.0000,301.0000,371.0000,336.0000,347.0000
ENSRNOG00000000129,Phf24,230.1558,2.4537,0.0087,0.0530,78.0000,103.0000,81.0000,72.0000,83.5000
ENSRNOG00000000142,Plxdc2,260.2848,2.5499,0.0020,0.0598,21.0000,67.0000,22.0000,253.0000,90.7500
ENSRNOG00000000150,Dnajc1,89.2735,1.5205,0.0000,0.0184,531.0000,539.0000,531.0000,458.0000,514.7500
ENSRNOG00000000155,Cog3,221.3478,2.3028,0.0053,0.0500,103.0000,189.0000,119.0000,126.0000,134.2500
ENSRNOG00000000157,Atg12,221.1455,2.0409,0.0005,0.0495,105.0000,348.0000,128.0000,371.0000,238.0000
ENSRNOG00000000221,Abhd5,172.9721,2.1116,0.0011,0.0391,311.0000,308.0000,321.0000,303.0000,310.7500
ENSRNOG00000000237,C10h17orf75,124.4809,1.6473,0.0004,0.0272,509.0000,521.0000,506.0000,396.0000,483.0000
ENSRNOG00000000244,Coil,178.0351,2.3177,0.0002,0.0423,274.0000,175.0000,238.0000,427.0000,278.5000
ENSRNOG00000000246,Amz2,218.7152,2.4110,0.0009,0.0507,115.0000,127.0000,102.0000,326.0000,167.5000
ENSRNOG00000000247,Mfsd11,84.9794,1.7298,0.0021,0.0172,532.0000,502.0000,534.0000,248.0000,454.0000
ENSRNOG00000000250,Jmjd6,321.1001,3.0905,0.0119,0.0726,1.0000,16.0000,1.0000,52.0000,17.5000
