gene_names,ext_names,degree,closeness,betweenness,eigenvector,degRank,closeRank,eigRank,betRank,avgRank
ENSRNOG00000000098,Rnf115,16.8473,1.8319,0.0129,0.1467,22.0000,2.0000,15.0000,9.0000,12.0000
ENSRNOG00000000111,Coprs,16.8989,1.5053,0.0018,0.1404,21.0000,27.0000,19.0000,25.0000,23.0000
ENSRNOG00000000122,Ak2,6.2415,1.1835,0.0000,0.0468,58.0000,58.0000,59.0000,28.0000,50.7500
ENSRNOG00000000166,Apex2,17.4386,1.5995,0.0082,0.1476,16.0000,13.0000,14.0000,15.0000,14.5000
ENSRNOG00000000483,Syngap1,16.9453,1.5116,0.0105,0.1413,20.0000,24.0000,18.0000,11.0000,18.2500
ENSRNOG00000000488,Hmga1,16.5428,1.4610,0.0088,0.1324,23.0000,33.0000,29.0000,14.0000,24.7500
ENSRNOG00000000610,Cisd1,16.2921,1.5971,0.0099,0.1355,24.0000,14.0000,24.0000,12.0000,18.5000
ENSRNOG00000000636,Rtkn2,12.9814,1.3599,0.0006,0.0997,46.0000,48.0000,50.0000,27.0000,42.7500
ENSRNOG00000000763,RT1-M3-1,23.8349,1.8493,0.0538,0.1946,1.0000,1.0000,1.0000,1.0000,1.0000
ENSRNOG00000000800,Man1a1,18.1455,1.7270,0.0070,0.1508,13.0000,4.0000,12.0000,18.0000,11.7500
ENSRNOG00000000853,Aif1,18.5604,1.6390,0.0205,0.1493,9.0000,8.0000,13.0000,6.0000,9.0000
ENSRNOG00000000901,Crcp,15.5800,1.5168,0.0006,0.1341,33.0000,22.0000,28.0000,27.0000,27.5000
ENSRNOG00000001099,Rbak,12.6842,1.3920,0.0053,0.1100,49.0000,41.0000,43.0000,21.0000,38.5000
ENSRNOG00000001114,Wipi2,13.5150,1.3205,0.0000,0.1140,42.0000,51.0000,39.0000,28.0000,40.0000
ENSRNOG00000001138,Taok3,14.0815,1.3913,0.0018,0.1114,39.0000,42.0000,41.0000,25.0000,36.7500
ENSRNOG00000001149,Pxn,11.4107,1.2817,0.0012,0.0891,55.0000,56.0000,56.0000,26.0000,48.2500
ENSRNOG00000001295,S100b,14.7131,1.5468,0.0105,0.1159,36.0000,20.0000,38.0000,11.0000,26.2500
ENSRNOG00000001314,Fam20c,11.4892,1.2830,0.0000,0.0941,54.0000,55.0000,53.0000,28.0000,47.5000
ENSRNOG00000001408,Actl6b,17.0846,1.5125,0.0029,0.1402,18.0000,23.0000,20.0000,24.0000,21.2500
ENSRNOG00000001425,Sh2b2,19.4479,1.5804,0.0207,0.1538,6.0000,16.0000,10.0000,5.0000,9.2500
ENSRNOG00000001432,Dtx2,14.5232,1.4232,0.0076,0.1165,38.0000,38.0000,37.0000,17.0000,32.5000
