n_neighbors,min_dist,eps,min_samples,min_mod_size,silhouette_score,davies_bouldin_index,silhouette_norm,dbi_norm,composite_score
4,0.005,0.25,14,50,0.63584006,0.49408738735017155,0.94837254,1.0,0.976767647266388
4,0.005,0.25,13,50,0.63584006,0.49408738735017155,0.94837254,1.0,0.976767647266388
4,0.005,0.3,14,50,0.6354927,0.49570411720758206,0.94611394,0.99414222562637,0.9725294929581815
4,0.005,0.3,13,50,0.6354927,0.49570411720758206,0.94611394,0.99414222562637,0.9725294929581815
3,0.001,0.3,14,50,0.6383135,0.503464322647176,0.9644545,0.9660252632595301,0.9653184102022112
3,0.001,0.3,13,50,0.638428,0.5041304923735499,0.96519893,0.9636115811383306,0.9643258929415115
3,0.01,0.3,14,50,0.6260575,0.494765535186393,0.88476723,0.9975429185040764,0.9467938636039083
3,0.01,0.3,13,50,0.62593234,0.4952883875517666,0.8839534,0.9956485072806808,0.9453856966912183
4,0.001,0.25,14,50,0.64112025,0.530042049998765,0.9827039,0.8697282044306516,0.9205672663965141
