gene_names,ext_names,degree,closeness,betweenness,eigenvector,degRank,closeRank,eigRank,betRank,avgRank
ENSRNOG00000000021,Fbxl14-ps1,63.1311,2.4783,0.0093,0.0834,76.0000,29.0000,71.0000,30.0000,51.5000
ENSRNOG00000000047,Cd82,68.0877,2.4649,0.0090,0.0910,46.0000,32.0000,38.0000,31.0000,36.7500
ENSRNOG00000000082,Hltf,59.5501,1.9030,0.0000,0.0750,92.0000,112.0000,98.0000,107.0000,102.2500
ENSRNOG00000000095,Gpr89b,46.9484,1.7386,0.0079,0.0567,133.0000,128.0000,135.0000,39.0000,108.7500
ENSRNOG00000000130,Dnajb5,46.9071,1.6343,0.0006,0.0591,134.0000,135.0000,133.0000,101.0000,125.7500
ENSRNOG00000000164,Lamp2,77.0454,2.3548,0.0088,0.0994,13.0000,46.0000,13.0000,32.0000,26.0000
ENSRNOG00000000168,Gatm,63.7276,2.1230,0.0017,0.0819,70.0000,85.0000,77.0000,85.0000,79.2500
ENSRNOG00000000169,Afg2b,58.5480,1.8484,0.0000,0.0765,96.0000,115.0000,96.0000,107.0000,103.5000
ENSRNOG00000000185,Mpst,60.2621,2.3764,0.0053,0.0804,90.0000,43.0000,82.0000,56.0000,67.7500
ENSRNOG00000000186,Tst,71.9938,2.2487,0.0022,0.0923,31.0000,66.0000,34.0000,79.0000,52.5000
ENSRNOG00000000230,Lmf1,69.2446,2.3091,0.0049,0.0897,40.0000,57.0000,39.0000,60.0000,49.0000
ENSRNOG00000000387,Slc25a16,55.1858,2.0673,0.0074,0.0725,108.0000,87.0000,106.0000,42.0000,85.7500
ENSRNOG00000000396,Ddx50,49.6894,1.9203,0.0022,0.0645,124.0000,107.0000,122.0000,78.0000,107.7500
ENSRNOG00000000411,Nus1,55.8050,1.9588,0.0013,0.0728,107.0000,105.0000,104.0000,90.0000,101.5000
ENSRNOG00000000412,Slc35f1,53.3695,1.8170,0.0001,0.0697,114.0000,118.0000,111.0000,106.0000,112.2500
