gene_names,ext_names,degree,closeness,betweenness,eigenvector,degRank,closeRank,eigRank,betRank,avgRank
ENSRNOG00000000034,Nuak2,155.4376,2.3251,0.0075,0.0480,204.0000,124.0000,194.0000,84.0000,151.5000
ENSRNOG00000000036,Klhdc8a,99.8896,1.7146,0.0002,0.0287,409.0000,405.0000,410.0000,345.0000,392.2500
ENSRNOG00000000040,Kiaa1614,134.4211,1.9285,0.0001,0.0402,311.0000,328.0000,316.0000,349.0000,326.0000
ENSRNOG00000000044,Tmem175,148.5449,2.3502,0.0208,0.0453,251.0000,108.0000,242.0000,21.0000,155.5000
ENSRNOG00000000081,Antxr2,180.5057,2.4054,0.0031,0.0554,90.0000,86.0000,91.0000,183.0000,112.5000
ENSRNOG00000000104,Thoc3,127.5728,1.8837,0.0009,0.0384,339.0000,347.0000,334.0000,280.0000,325.0000
ENSRNOG00000000129,Phf24,189.8989,2.4110,0.0108,0.0583,61.0000,83.0000,60.0000,57.0000,65.2500
ENSRNOG00000000142,Plxdc2,207.4272,2.5129,0.0025,0.0638,28.0000,51.0000,30.0000,211.0000,80.0000
ENSRNOG00000000150,Dnajc1,71.6636,1.5199,0.0000,0.0200,427.0000,431.0000,427.0000,365.0000,412.5000
ENSRNOG00000000155,Cog3,173.6089,2.3115,0.0074,0.0529,120.0000,135.0000,124.0000,86.0000,116.2500
ENSRNOG00000000157,Atg12,169.1816,1.9905,0.0003,0.0512,143.0000,299.0000,151.0000,332.0000,231.2500
ENSRNOG00000000221,Abhd5,150.2900,2.1048,0.0015,0.0450,233.0000,246.0000,251.0000,249.0000,244.7500
ENSRNOG00000000246,Amz2,175.8008,2.3890,0.0020,0.0546,108.0000,92.0000,96.0000,230.0000,131.5000
ENSRNOG00000000247,Mfsd11,71.6213,1.7267,0.0027,0.0193,428.0000,399.0000,428.0000,203.0000,364.5000
ENSRNOG00000000250,Jmjd6,252.6615,3.0474,0.0093,0.0768,1.0000,12.0000,1.0000,66.0000,20.0000
ENSRNOG00000000277,Tet1,185.7864,2.4610,0.0010,0.0577,77.0000,65.0000,66.0000,278.0000,121.5000
ENSRNOG00000000302,Sesn1,133.4479,1.9676,0.0016,0.0403,316.0000,310.0000,315.0000,247.0000,297.0000
ENSRNOG00000000304,Cd164,149.4861,2.1864,0.0031,0.0451,243.0000,197.0000,247.0000,180.0000,216.7500
ENSRNOG00000000307,Mical1,145.1073,2.1341,0.0023,0.0438,269.0000,227.0000,269.0000,216.0000,245.2500
ENSRNOG00000000314,Sec63,67.6863,1.5738,0.0003,0.0188,433.0000,424.0000,431.0000,336.0000,406.0000
ENSRNOG00000000321,Cd24,144.8937,2.3394,0.0115,0.0449,270.0000,116.0000,256.0000,49.0000,172.7500
ENSRNOG00000000322,Atg5,159.5346,2.1434,0.0022,0.0476,188.0000,220.0000,203.0000,218.0000,207.2500
ENSRNOG00000000395,Kifbp,190.6109,2.3316,0.0093,0.0575,58.0000,121.0000,68.0000,67.0000,78.5000
