gene_names,ext_names,degree,closeness,betweenness,eigenvector,degRank,closeRank,eigRank,betRank,avgRank
ENSRNOG00000000010,Cbln1,22.9432,1.3109,0.0042,0.1113,20.0000,18.0000,13.0000,11.0000,17.0000
ENSRNOG00000000068,Ppp2r5a,19.6244,1.2357,0.0005,0.0947,59.0000,67.0000,60.0000,25.0000,62.0000
ENSRNOG00000000096,Pdzk1,18.6563,1.2303,0.0000,0.0934,74.0000,73.0000,64.0000,28.0000,70.3333
ENSRNOG00000000113,Elac1,19.3725,1.2269,0.0002,0.0926,64.0000,76.0000,65.0000,27.0000,68.3333
ENSRNOG00000000123,Rnf19b,17.5893,1.2634,0.0011,0.0862,90.0000,49.0000,85.0000,22.0000,74.6667
ENSRNOG00000000244,Coil,16.7389,1.1889,0.0000,0.0817,94.0000,98.0000,94.0000,28.0000,95.3333
ENSRNOG00000000275,Fam13c,25.8679,1.3614,0.0109,0.1232,6.0000,9.0000,6.0000,3.0000,7.0000
ENSRNOG00000000288,Scarf2,17.7822,1.2344,0.0004,0.0860,86.0000,68.0000,87.0000,26.0000,80.3333
ENSRNOG00000000368,Grik2,19.2291,1.2391,0.0002,0.0938,65.0000,66.0000,62.0000,27.0000,64.3333
ENSRNOG00000000485,Bak1,26.9969,1.4462,0.0108,0.1317,5.0000,2.0000,4.0000,4.0000,3.6667
ENSRNOG00000000501,Zfp523,2.2879,1.0243,0.0000,0.0086,106.0000,106.0000,106.0000,28.0000,106.0000
ENSRNOG00000000519,Stk38,23.1940,1.3010,0.0005,0.1111,19.0000,21.0000,14.0000,25.0000,18.0000
ENSRNOG00000000536,Mdga1,20.3282,1.2462,0.0002,0.0963,47.0000,63.0000,52.0000,27.0000,54.0000
ENSRNOG00000000557,Ppa1,24.4850,1.3410,0.0032,0.1164,8.0000,12.0000,9.0000,13.0000,9.6667
ENSRNOG00000000566,Pcbd1,19.5996,1.2538,0.0018,0.0953,61.0000,55.0000,57.0000,19.0000,57.6667
ENSRNOG00000000585,Amd1,20.2570,1.2770,0.0014,0.0983,51.0000,36.0000,47.0000,21.0000,44.6667
ENSRNOG00000000618,Mdga2,21.7967,1.2673,0.0002,0.1047,27.0000,43.0000,25.0000,27.0000,31.6667
ENSRNOG00000000655,Ptprc,16.5593,1.1944,0.0000,0.0800,97.0000,95.0000,98.0000,28.0000,96.6667
ENSRNOG00000000708,Sgsm1,23.5955,1.3077,0.0016,0.1117,14.0000,19.0000,12.0000,20.0000,15.0000
ENSRNOG00000000815,Smpdl3a,15.6099,1.1801,0.0000,0.0766,100.0000,100.0000,100.0000,28.0000,100.0000
