gene_names,ext_names,degree,closeness,betweenness,eigenvector,degRank,closeRank,eigRank,betRank,avgRank
ENSRNOG00000000024,Hebp1,97.6780,1.7439,0.0000,0.0378,335.0000,340.0000,330.0000,306.0000,327.7500
ENSRNOG00000000033,Tmcc2,156.9009,2.3365,0.0040,0.0607,77.0000,101.0000,77.0000,121.0000,94.0000
ENSRNOG00000000042,Xpr1,108.0506,1.7185,0.0001,0.0403,318.0000,345.0000,317.0000,301.0000,320.2500
ENSRNOG00000000048,Gak,129.5057,2.1225,0.0018,0.0503,205.0000,181.0000,194.0000,195.0000,193.7500
ENSRNOG00000000053,Crp,125.3117,1.9500,0.0007,0.0484,227.0000,268.0000,223.0000,257.0000,243.7500
ENSRNOG00000000054,Abhd8,112.2693,1.9446,0.0007,0.0432,305.0000,271.0000,295.0000,255.0000,281.5000
ENSRNOG00000000062,Pcgf3,148.0516,2.4037,0.0026,0.0572,111.0000,78.0000,108.0000,162.0000,114.7500
ENSRNOG00000000066,Fbxo28,143.1992,2.3237,0.0129,0.0548,132.0000,103.0000,134.0000,42.0000,102.7500
ENSRNOG00000000112,Champ1,129.7564,1.9016,0.0012,0.0487,203.0000,288.0000,219.0000,218.0000,232.0000
ENSRNOG00000000156,Megf6,143.6398,2.0482,0.0022,0.0543,130.0000,210.0000,138.0000,176.0000,163.5000
ENSRNOG00000000161,Chm,134.1022,2.0484,0.0048,0.0510,177.0000,209.0000,185.0000,104.0000,168.7500
ENSRNOG00000000231,Kctd17,173.8266,2.6327,0.0091,0.0674,27.0000,35.0000,27.0000,59.0000,37.0000
ENSRNOG00000000237,C10h17orf75,98.8607,1.7140,0.0007,0.0378,333.0000,346.0000,329.0000,258.0000,316.5000
ENSRNOG00000000248,Srsf2,178.8101,2.7823,0.0112,0.0690,14.0000,21.0000,15.0000,48.0000,24.5000
ENSRNOG00000000257,Smpd3,128.3055,2.1360,0.0011,0.0500,213.0000,173.0000,197.0000,229.0000,203.0000
ENSRNOG00000000258,Prmt7,137.3643,2.1190,0.0011,0.0527,167.0000,185.0000,167.0000,225.0000,186.0000
ENSRNOG00000000274,Phyhipl,89.9505,1.6430,0.0001,0.0337,345.0000,350.0000,343.0000,299.0000,334.2500
ENSRNOG00000000283,Ess2,120.9340,1.8946,0.0029,0.0452,256.0000,292.0000,267.0000,155.0000,242.5000
ENSRNOG00000000299,Foxo3,184.2962,2.9222,0.0394,0.0715,8.0000,12.0000,8.0000,7.0000,8.7500
ENSRNOG00000000312,Fig4,140.2570,2.1172,0.0004,0.0533,145.0000,187.0000,153.0000,281.0000,191.5000
ENSRNOG00000000340,Rtraf,165.9360,2.7763,0.0040,0.0653,44.0000,23.0000,36.0000,123.0000,56.5000
ENSRNOG00000000341,Nid2,65.3282,1.6362,0.0000,0.0223,359.0000,352.0000,360.0000,305.0000,344.0000
ENSRNOG00000000394,Srgn,120.3540,2.0069,0.0016,0.0450,260.0000,238.0000,269.0000,201.0000,242.0000
ENSRNOG00000000398,Zup1,142.2590,2.2830,0.0013,0.0551,136.0000,114.0000,133.0000,212.0000,148.7500
ENSRNOG00000000407,Dcbld1,112.6202,1.8667,0.0013,0.0437,301.0000,307.0000,287.0000,214.0000,277.2500
ENSRNOG00000000420,Nelfe,172.4902,2.5314,0.0032,0.0668,30.0000,60.0000,30.0000,146.0000,66.5000
ENSRNOG00000000433,Prrt1,119.5026,1.8280,0.0003,0.0457,264.0000,320.0000,262.0000,288.0000,283.5000
ENSRNOG00000000435,Ppt2,125.6667,2.0667,0.0032,0.0482,225.0000,200.0000,226.0000,146.0000,199.2500
ENSRNOG00000000440,Pbx2,133.4706,2.0320,0.0014,0.0513,183.0000,220.0000,180.0000,209.0000,198.0000
ENSRNOG00000000461,Brd2,151.4954,2.4263,0.0031,0.0579,95.0000,73.0000,102.0000,149.0000,104.7500
ENSRNOG00000000464,Rxrb,93.7585,1.7600,0.0006,0.0346,340.0000,336.0000,340.0000,259.0000,318.7500
ENSRNOG00000000465,Slc39a7,109.2859,1.8983,0.0003,0.0421,313.0000,289.0000,309.0000,289.0000,300.0000
ENSRNOG00000000467,Ring1,147.4014,2.2452,0.0065,0.0571,112.0000,123.0000,111.0000,82.0000,107.0000
ENSRNOG00000000470,Vps52,125.9463,1.9815,0.0010,0.0487,222.0000,254.0000,218.0000,236.0000,232.5000
ENSRNOG00000000474,Ralgdsl2,135.2116,1.9874,0.0011,0.0515,174.0000,250.0000,177.0000,226.0000,206.7500
ENSRNOG00000000476,Zbtb22,145.9928,2.1603,0.0008,0.0567,116.0000,154.0000,113.0000,247.0000,157.5000
ENSRNOG00000000488,Hmga1,145.1538,2.1200,0.0031,0.0554,121.0000,182.0000,127.0000,148.0000,144.5000
ENSRNOG00000000495,Bltp3a,152.3127,2.3874,0.0007,0.0591,92.0000,84.0000,84.0000,255.0000,128.7500
ENSRNOG00000000504,Fance,155.2043,2.3899,0.0151,0.0593,81.0000,81.0000,83.0000,34.0000,69.7500
ENSRNOG00000000512,Slc26a8,124.1930,1.9605,0.0000,0.0479,237.0000,262.0000,231.0000,306.0000,259.0000
ENSRNOG00000000513,Mapk14,180.1455,2.8914,0.0247,0.0700,12.0000,14.0000,12.0000,22.0000,15.0000
ENSRNOG00000000517,Kctd20,58.9804,1.7896,0.0001,0.0202,361.0000,328.0000,362.0000,297.0000,337.0000
ENSRNOG00000000527,Mtch1,86.0970,1.7715,0.0031,0.0310,348.0000,332.0000,348.0000,148.0000,294.0000
ENSRNOG00000000532,Cmtr1,132.8627,2.1106,0.0037,0.0512,186.0000,191.0000,182.0000,131.0000,172.5000
ENSRNOG00000000547,Tspyl4,122.3746,2.0528,0.0078,0.0464,250.0000,205.0000,255.0000,67.0000,194.2500
ENSRNOG00000000552,Col13a1,114.9732,1.9928,0.0012,0.0437,286.0000,245.0000,286.0000,219.0000,259.0000
ENSRNOG00000000561,Pald1,114.5459,1.8675,0.0002,0.0442,291.0000,306.0000,281.0000,290.0000,292.0000
ENSRNOG00000000565,Sgpl1,139.9143,2.0894,0.0056,0.0530,149.0000,194.0000,157.0000,98.0000,149.5000
ENSRNOG00000000567,Unc5b,132.4696,2.0503,0.0069,0.0508,187.0000,207.0000,189.0000,77.0000,165.0000
ENSRNOG00000000581,Cdc40,160.2405,2.4739,0.0060,0.0619,67.0000,71.0000,64.0000,89.0000,72.7500
ENSRNOG00000000582,Ddo,114.9112,1.8768,0.0038,0.0443,287.0000,302.0000,279.0000,129.0000,249.2500
ENSRNOG00000000583,Cdk19,131.9133,2.1259,0.0012,0.0510,193.0000,178.0000,187.0000,220.0000,194.5000
ENSRNOG00000000586,Gtf3c6,100.3199,1.8456,0.0008,0.0379,328.0000,314.0000,327.0000,250.0000,304.7500
ENSRNOG00000000599,Lama4,138.8431,2.0383,0.0013,0.0535,156.0000,217.0000,150.0000,216.0000,184.7500
ENSRNOG00000000605,Hs3st5,129.7296,2.1334,0.0008,0.0500,204.0000,175.0000,199.0000,250.0000,207.0000
ENSRNOG00000000641,Nrbf2,177.9453,2.7765,0.0434,0.0687,17.0000,22.0000,17.0000,4.0000,15.0000
ENSRNOG00000000648,Jmjd1c,122.8421,1.9787,0.0012,0.0475,247.0000,255.0000,241.0000,223.0000,241.5000
ENSRNOG00000000774,Gabbr1,138.8070,2.1843,0.0067,0.0528,157.0000,144.0000,163.0000,79.0000,135.7500
ENSRNOG00000000777,RT1-S3,138.6966,2.0890,0.0020,0.0528,158.0000,195.0000,164.0000,181.0000,174.5000
ENSRNOG00000000781,Rnf39,99.8648,1.7274,0.0000,0.0387,332.0000,341.0000,323.0000,306.0000,325.5000
ENSRNOG00000000796,Ranbp2,107.5655,1.7796,0.0000,0.0413,319.0000,330.0000,315.0000,305.0000,317.2500
ENSRNOG00000000809,Atat1,153.9639,2.4224,0.0057,0.0593,86.0000,74.0000,82.0000,94.0000,84.0000
ENSRNOG00000000814,Fabp7,140.0217,2.0409,0.0060,0.0542,148.0000,215.0000,140.0000,90.0000,148.2500
ENSRNOG00000000848,Gpank1,178.2301,3.2076,0.0383,0.0697,15.0000,5.0000,14.0000,8.0000,10.5000
ENSRNOG00000000861,Zic3,133.8576,2.1751,0.0012,0.0512,181.0000,147.0000,183.0000,221.0000,183.0000
ENSRNOG00000000888,Sbds,166.8916,2.3816,0.0076,0.0641,41.0000,86.0000,45.0000,70.0000,60.5000
ENSRNOG00000000891,Zfp958l1,136.5470,2.2320,0.0010,0.0524,170.0000,129.0000,170.0000,234.0000,175.7500
ENSRNOG00000000909,Uspl1,101.5872,1.8032,0.0009,0.0382,325.0000,322.0000,326.0000,246.0000,304.7500
ENSRNOG00000000913,Gusb,90.5944,1.8815,0.0022,0.0333,344.0000,298.0000,344.0000,172.0000,289.5000
ENSRNOG00000000918,Zbed5,158.2260,2.5102,0.0028,0.0618,74.0000,65.0000,66.0000,156.0000,90.2500
ENSRNOG00000000962,Slc15a4,125.0475,1.9230,0.0002,0.0480,229.0000,279.0000,227.0000,292.0000,256.7500
ENSRNOG00000000974,Zfp358,180.5697,2.6649,0.0046,0.0697,10.0000,32.0000,13.0000,107.0000,40.5000
ENSRNOG00000000977,Pnpla6,142.8246,2.3417,0.0071,0.0552,133.0000,95.0000,130.0000,75.0000,108.2500
ENSRNOG00000000983,Zfp394,100.1125,1.8005,0.0022,0.0371,330.0000,323.0000,333.0000,176.0000,290.5000
ENSRNOG00000001006,Nptx2,174.2064,2.7471,0.0042,0.0676,24.0000,27.0000,24.0000,117.0000,48.0000
ENSRNOG00000001009,Bri3,101.7461,1.7558,0.0005,0.0384,324.0000,337.0000,324.0000,265.0000,312.5000
ENSRNOG00000001032,Ccz1,94.2178,1.8636,0.0025,0.0362,339.0000,308.0000,336.0000,166.0000,287.2500
ENSRNOG00000001034,Evi5l,117.3798,1.9210,0.0020,0.0435,274.0000,280.0000,290.0000,185.0000,257.2500
ENSRNOG00000001036,Rsph10b,179.9845,3.2075,0.0441,0.0704,13.0000,6.0000,10.0000,3.0000,8.0000
