gene_names,ext_names,degree,closeness,betweenness,eigenvector,degRank,closeRank,eigRank,betRank,avgRank
ENSRNOG00000000034,Nuak2,157.4180,2.3105,0.0073,0.0473,216.0000,120.0000,202.0000,82.0000,179.3333
ENSRNOG00000000036,Klhdc8a,101.0939,1.6983,0.0002,0.0282,424.0000,421.0000,421.0000,360.0000,422.0000
ENSRNOG00000000040,Kiaa1614,138.4448,1.9218,0.0001,0.0401,309.0000,333.0000,316.0000,365.0000,319.3333
ENSRNOG00000000044,Tmem175,149.9061,2.3355,0.0189,0.0446,265.0000,104.0000,249.0000,23.0000,206.0000
ENSRNOG00000000081,Antxr2,183.7461,2.3843,0.0029,0.0549,92.0000,85.0000,92.0000,192.0000,89.6667
ENSRNOG00000000104,Thoc3,131.4510,1.8851,0.0010,0.0383,339.0000,352.0000,336.0000,289.0000,342.3333
ENSRNOG00000000129,Phf24,193.3271,2.3886,0.0114,0.0576,61.0000,83.0000,61.0000,49.0000,68.3333
ENSRNOG00000000142,Plxdc2,210.7100,2.4810,0.0022,0.0631,28.0000,53.0000,31.0000,230.0000,37.3333
ENSRNOG00000000150,Dnajc1,74.5851,1.5189,0.0000,0.0201,442.0000,445.0000,441.0000,379.0000,442.6667
ENSRNOG00000000155,Cog3,177.6563,2.2896,0.0057,0.0525,118.0000,136.0000,124.0000,106.0000,126.0000
ENSRNOG00000000157,Atg12,172.7379,1.9799,0.0004,0.0509,144.0000,299.0000,152.0000,341.0000,198.3333
ENSRNOG00000000221,Abhd5,153.0960,2.0888,0.0014,0.0445,243.0000,247.0000,254.0000,262.0000,248.0000
ENSRNOG00000000246,Amz2,179.5841,2.3640,0.0019,0.0541,109.0000,94.0000,98.0000,237.0000,100.3333
ENSRNOG00000000247,Mfsd11,75.1001,1.7228,0.0035,0.0195,441.0000,413.0000,442.0000,167.0000,432.0000
ENSRNOG00000000250,Jmjd6,257.1981,2.9979,0.0087,0.0760,1.0000,12.0000,1.0000,72.0000,4.6667
ENSRNOG00000000277,Tet1,188.5738,2.4408,0.0022,0.0570,81.0000,70.0000,68.0000,226.0000,73.0000
ENSRNOG00000000302,Sesn1,137.8545,1.9655,0.0022,0.0402,315.0000,307.0000,315.0000,228.0000,312.3333
ENSRNOG00000000304,Cd164,155.3354,2.2233,0.0036,0.0453,227.0000,177.0000,235.0000,166.0000,213.0000
ENSRNOG00000000307,Mical1,147.7100,2.1187,0.0025,0.0433,272.0000,230.0000,272.0000,215.0000,258.0000
ENSRNOG00000000314,Sec63,69.9102,1.5748,0.0003,0.0188,448.0000,436.0000,447.0000,345.0000,443.6667
ENSRNOG00000000321,Cd24,148.1961,2.3228,0.0112,0.0445,270.0000,114.0000,255.0000,52.0000,213.0000
ENSRNOG00000000322,Atg5,163.1476,2.1199,0.0017,0.0473,187.0000,227.0000,203.0000,250.0000,205.6667
ENSRNOG00000000395,Kifbp,194.5759,2.3101,0.0092,0.0570,58.0000,121.0000,67.0000,66.0000,82.0000
ENSRNOG00000000431,Atf6b,122.6749,1.6791,0.0003,0.0345,372.0000,423.0000,383.0000,347.0000,392.6667
ENSRNOG00000000457,Tap1,138.1641,1.8878,0.0001,0.0407,310.0000,350.0000,310.0000,366.0000,323.3333
ENSRNOG00000000463,Col11a2,155.6904,1.9313,0.0005,0.0461,224.0000,329.0000,217.0000,329.0000,256.6667
ENSRNOG00000000474,Ralgdsl2,113.8462,1.6341,0.0000,0.0337,400.0000,428.0000,396.0000,375.0000,408.0000
ENSRNOG00000000477,Daxx,211.7564,2.6732,0.0022,0.0637,26.0000,36.0000,26.0000,227.0000,29.3333
ENSRNOG00000000480,Phf1,202.1476,2.6797,0.0532,0.0596,38.0000,34.0000,44.0000,1.0000,38.6667
ENSRNOG00000000502,Def6,120.6925,1.7048,0.0002,0.0352,382.0000,419.0000,376.0000,356.0000,392.3333
ENSRNOG00000000503,Ppard,113.3179,1.7717,0.0008,0.0323,401.0000,400.0000,402.0000,304.0000,401.0000
ENSRNOG00000000520,Srsf3,166.8700,2.3300,0.0131,0.0501,175.0000,107.0000,165.0000,42.0000,149.0000
ENSRNOG00000000521,Cdkn1a,135.1940,2.0088,0.0007,0.0398,319.0000,289.0000,317.0000,312.0000,308.3333
ENSRNOG00000000524,C20h6orf89,165.1837,2.2088,0.0036,0.0494,183.0000,186.0000,174.0000,166.0000,181.0000
ENSRNOG00000000528,Fgd2,221.1548,2.5442,0.0385,0.0652,14.0000,46.0000,19.0000,6.0000,26.3333
ENSRNOG00000000540,Btbd9,211.2931,2.9464,0.0027,0.0645,27.0000,16.0000,22.0000,209.0000,21.6667
ENSRNOG00000000546,Nt5dc1,146.7699,2.1569,0.0104,0.0426,277.0000,205.0000,283.0000,58.0000,255.0000
ENSRNOG00000000569,Vsir,115.6367,1.7128,0.0000,0.0343,396.0000,416.0000,387.0000,378.0000,399.6667
ENSRNOG00000000571,Psap,119.6285,1.7924,0.0005,0.0344,387.0000,393.0000,384.0000,330.0000,388.0000
ENSRNOG00000000576,Anapc16,131.7523,1.9022,0.0006,0.0386,336.0000,343.0000,329.0000,320.0000,336.0000
ENSRNOG00000000587,Rpf2,121.6388,1.7722,0.0019,0.0348,379.0000,399.0000,380.0000,238.0000,386.0000
ENSRNOG00000000593,Rev3l,152.9309,2.2768,0.0015,0.0456,245.0000,141.0000,230.0000,260.0000,205.3333
ENSRNOG00000000604,Hdac2,212.4561,2.8196,0.0081,0.0639,24.0000,19.0000,24.0000,76.0000,22.3333
ENSRNOG00000000611,Ube2d1,84.9319,1.5130,0.0001,0.0229,437.0000,446.0000,437.0000,368.0000,440.0000
ENSRNOG00000000614,Bicc1,155.5913,2.1399,0.0004,0.0463,225.0000,215.0000,213.0000,336.0000,217.6667
ENSRNOG00000000657,Nek7,169.0279,2.1804,0.0007,0.0511,164.0000,196.0000,147.0000,310.0000,169.0000
ENSRNOG00000000663,Tfip11,197.0867,3.0353,0.0208,0.0600,50.0000,7.0000,42.0000,19.0000,33.0000
ENSRNOG00000000664,Tpst2,96.8906,1.7127,0.0001,0.0268,426.0000,417.0000,427.0000,370.0000,423.3333
ENSRNOG00000000665,Pitpnb,70.6336,1.4954,0.0004,0.0190,446.0000,448.0000,445.0000,335.0000,446.3333
ENSRNOG00000000693,Svop,144.7709,2.0362,0.0036,0.0422,284.0000,272.0000,287.0000,163.0000,281.0000
ENSRNOG00000000697,Coro1c,176.0805,2.1425,0.0083,0.0514,124.0000,213.0000,141.0000,75.0000,159.3333
ENSRNOG00000000699,Selplg,228.2312,2.9736,0.0132,0.0682,8.0000,15.0000,8.0000,41.0000,10.3333
ENSRNOG00000000701,Iscu,158.8142,2.1077,0.0014,0.0465,207.0000,239.0000,212.0000,261.0000,219.3333
ENSRNOG00000000704,Cmklr1,150.3787,1.9590,0.0041,0.0430,261.0000,308.0000,278.0000,149.0000,282.3333
ENSRNOG00000000718,Cggbp1,171.4778,2.3990,0.0028,0.0511,149.0000,80.0000,146.0000,199.0000,125.0000
ENSRNOG00000000778,Znrd1as1,123.3911,1.9418,0.0004,0.0363,368.0000,323.0000,363.0000,340.0000,351.3333
ENSRNOG00000000785,Trim39,159.3199,2.2986,0.0024,0.0478,206.0000,131.0000,192.0000,219.0000,176.3333
