gene_names,ext_names,degree,closeness,betweenness,eigenvector,degRank,closeRank,eigRank,betRank,avgRank
ENSRNOG00000000041,Slc26a1,112.9236,2.5599,0.0104,0.0684,72.0000,76.0000,81.0000,39.0000,76.3333
ENSRNOG00000000043,Idua,112.2497,2.6645,0.0079,0.0687,76.0000,59.0000,79.0000,50.0000,71.3333
ENSRNOG00000000064,Atp5me,119.3664,2.6789,0.0093,0.0736,37.0000,54.0000,36.0000,44.0000,42.3333
ENSRNOG00000000073,Tmed5,99.8947,2.1493,0.0046,0.0608,143.0000,171.0000,151.0000,78.0000,155.0000
ENSRNOG00000000075,Mtf2,86.3983,2.0915,0.0009,0.0531,204.0000,184.0000,200.0000,144.0000,196.0000
ENSRNOG00000000091,Smad9,72.7461,2.0049,0.0042,0.0435,232.0000,213.0000,234.0000,82.0000,226.3333
ENSRNOG00000000105,Cplx2,107.4004,2.3312,0.0064,0.0652,114.0000,125.0000,117.0000,60.0000,118.6667
ENSRNOG00000000133,Txndc15,97.5542,2.1502,0.0032,0.0582,157.0000,170.0000,169.0000,97.0000,165.3333
ENSRNOG00000000151,Ldlrap1,99.2023,2.2108,0.0027,0.0599,148.0000,157.0000,155.0000,108.0000,153.3333
ENSRNOG00000000158,Cdo1,116.8070,2.7226,0.0058,0.0716,53.0000,51.0000,54.0000,66.0000,52.6667
ENSRNOG00000000170,Slc30a4,72.6935,1.8557,0.0001,0.0443,233.0000,228.0000,231.0000,171.0000,230.6667
ENSRNOG00000000175,Mier2,41.8431,1.3725,0.0000,0.0245,249.0000,251.0000,249.0000,175.0000,249.6667
ENSRNOG00000000204,Syncrip,103.6883,2.2415,0.0005,0.0633,135.0000,148.0000,137.0000,154.0000,140.0000
ENSRNOG00000000219,Ano10,116.8586,2.7687,0.0063,0.0718,52.0000,45.0000,53.0000,62.0000,50.0000
ENSRNOG00000000264,Def8,93.5201,2.2042,0.0000,0.0582,178.0000,159.0000,170.0000,174.0000,169.0000
ENSRNOG00000000279,Rtn4ip1,110.6646,2.5263,0.0013,0.0681,87.0000,83.0000,85.0000,134.0000,85.0000
ENSRNOG00000000281,Prodh,119.1909,3.0161,0.0101,0.0743,39.0000,14.0000,26.0000,41.0000,26.3333
ENSRNOG00000000303,Cep57l1,90.3354,2.2223,0.0002,0.0554,190.0000,153.0000,185.0000,167.0000,176.0000
ENSRNOG00000000308,Zbtb24,119.9278,3.0693,0.0083,0.0740,33.0000,12.0000,30.0000,49.0000,25.0000
ENSRNOG00000000316,Sobp,102.2374,2.4112,0.0364,0.0618,140.0000,108.0000,143.0000,5.0000,130.3333
ENSRNOG00000000415,Asf1a,96.1187,2.3098,0.0007,0.0600,164.0000,129.0000,154.0000,150.0000,149.0000
ENSRNOG00000000417,Numa1,115.9897,2.6768,0.0131,0.0708,57.0000,56.0000,61.0000,26.0000,58.0000
ENSRNOG00000000421,Skic2,99.3261,2.4276,0.0008,0.0617,147.0000,104.0000,146.0000,147.0000,132.3333
ENSRNOG00000000437,Agpat1,99.6254,2.4376,0.0011,0.0617,146.0000,102.0000,145.0000,138.0000,131.0000
ENSRNOG00000000438,Rnf5,80.6945,1.7668,0.0001,0.0486,219.0000,234.0000,221.0000,171.0000,224.6667
ENSRNOG00000000442,Notch4,117.0175,2.9237,0.0035,0.0724,51.0000,24.0000,50.0000,90.0000,41.6667
ENSRNOG00000000487,Grm4,121.6481,2.9510,0.0177,0.0749,23.0000,21.0000,24.0000,13.0000,22.6667
ENSRNOG00000000522,Cpne5,117.4933,2.8118,0.0137,0.0721,49.0000,35.0000,51.0000,24.0000,45.0000
ENSRNOG00000000541,Glo1,110.2322,2.4040,0.0007,0.0671,90.0000,109.0000,94.0000,151.0000,97.6667
ENSRNOG00000000542,Dnah8,89.8184,2.0429,0.0000,0.0553,191.0000,200.0000,187.0000,175.0000,192.6667
ENSRNOG00000000606,Pcdh15,96.0660,2.1949,0.0063,0.0584,166.0000,161.0000,166.0000,63.0000,164.3333
ENSRNOG00000000609,Ipmk,87.6791,1.9832,0.0000,0.0532,197.0000,219.0000,197.0000,174.0000,204.3333
ENSRNOG00000000634,Cabcoco1,109.8545,2.3585,0.0005,0.0678,94.0000,119.0000,86.0000,154.0000,99.6667
ENSRNOG00000000638,Zfp365,109.1920,2.2666,0.0002,0.0673,96.0000,138.0000,90.0000,168.0000,108.0000
ENSRNOG00000000658,Acacb,94.4964,2.1349,0.0002,0.0576,172.0000,177.0000,174.0000,167.0000,174.3333
ENSRNOG00000000700,Tmem119,86.9474,2.0860,0.0007,0.0528,198.0000,186.0000,202.0000,149.0000,195.3333
ENSRNOG00000000779,Polr1h,94.4716,2.2843,0.0000,0.0579,173.0000,136.0000,172.0000,173.0000,160.3333
ENSRNOG00000000799,Abcf1,132.8751,2.9334,0.0119,0.0816,8.0000,22.0000,8.0000,30.0000,12.6667
ENSRNOG00000000885,Auts2,93.0021,2.2183,0.0042,0.0553,184.0000,154.0000,188.0000,81.0000,175.3333
ENSRNOG00000000894,Fry,96.5851,2.1395,0.0027,0.0589,161.0000,174.0000,165.0000,105.0000,166.6667
ENSRNOG00000000895,Rabgef1,118.6842,3.0095,0.0035,0.0736,42.0000,18.0000,34.0000,92.0000,31.3333
ENSRNOG00000000902,Hsph1,77.3282,2.0578,0.0001,0.0475,227.0000,194.0000,226.0000,171.0000,215.6667
ENSRNOG00000000903,Asl,96.6429,2.3190,0.0008,0.0594,160.0000,127.0000,160.0000,148.0000,149.0000
ENSRNOG00000000922,Sumf2,124.2239,2.7664,0.0077,0.0759,14.0000,46.0000,16.0000,52.0000,25.3333
ENSRNOG00000000925,Psph,106.1961,2.1395,0.0001,0.0646,120.0000,175.0000,123.0000,171.0000,139.3333
ENSRNOG00000000942,Pan3,109.9195,2.1677,0.0005,0.0660,93.0000,169.0000,112.0000,154.0000,124.6667
ENSRNOG00000000961,Glt1d1,103.9773,2.5108,0.0047,0.0641,133.0000,84.0000,128.0000,77.0000,115.0000
ENSRNOG00000000967,Aacs,86.6140,2.1322,0.0009,0.0531,201.0000,181.0000,199.0000,143.0000,193.6667
ENSRNOG00000000975,Mcoln1,116.0753,2.6332,0.0016,0.0713,55.0000,64.0000,58.0000,125.0000,59.0000
ENSRNOG00000000981,Scarb1,72.4623,1.7823,0.0000,0.0440,234.0000,233.0000,233.0000,175.0000,233.3333
ENSRNOG00000000989,Bud31,134.4138,2.7463,0.0152,0.0820,7.0000,49.0000,7.0000,21.0000,21.0000
ENSRNOG00000001035,Gtf2h3,114.8710,3.0152,0.0102,0.0711,60.0000,15.0000,59.0000,40.0000,44.6667
ENSRNOG00000001044,Aimp2,98.0268,2.4985,0.0000,0.0618,154.0000,88.0000,144.0000,175.0000,128.6667
ENSRNOG00000001047,Map2k7,120.0568,3.1624,0.0130,0.0747,31.0000,5.0000,25.0000,27.0000,20.3333
ENSRNOG00000001061,Rilpl2,108.5686,2.4781,0.0084,0.0657,105.0000,90.0000,115.0000,48.0000,103.3333
ENSRNOG00000001083,Kdelr2,113.5036,2.4696,0.0117,0.0697,69.0000,92.0000,71.0000,32.0000,77.3333
ENSRNOG00000001113,Mmd2,106.4561,2.4703,0.0009,0.0656,119.0000,91.0000,116.0000,141.0000,108.6667
ENSRNOG00000001124,Rnft2,111.3653,2.2666,0.0021,0.0674,80.0000,139.0000,89.0000,116.0000,102.6667
ENSRNOG00000001143,Cit,108.5428,2.6545,0.0031,0.0666,107.0000,60.0000,104.0000,99.0000,90.3333
ENSRNOG00000001169,Slc37a1,124.5583,3.1113,0.0199,0.0771,13.0000,8.0000,13.0000,9.0000,11.3333
ENSRNOG00000001184,Pknox1,107.8400,2.4611,0.0000,0.0668,112.0000,95.0000,98.0000,175.0000,101.6667
ENSRNOG00000001192,Gltp,135.6182,3.0622,0.0138,0.0829,5.0000,13.0000,6.0000,23.0000,8.0000
ENSRNOG00000001198,Fam222a,123.8462,2.6511,0.0067,0.0762,16.0000,61.0000,14.0000,56.0000,30.3333
ENSRNOG00000001210,Pwp2,114.8039,3.0100,0.0054,0.0714,61.0000,17.0000,56.0000,69.0000,44.6667
ENSRNOG00000001216,Trpm2,78.4345,2.0157,0.0004,0.0477,225.0000,210.0000,224.0000,156.0000,219.6667
ENSRNOG00000001224,Itgb2,120.0000,2.7866,0.0027,0.0739,32.0000,40.0000,31.0000,107.0000,34.3333
ENSRNOG00000001236,Brat1,83.5160,2.0721,0.0002,0.0504,210.0000,190.0000,212.0000,165.0000,204.0000
ENSRNOG00000001237,Cabin1,88.6326,2.0777,0.0015,0.0544,195.0000,188.0000,194.0000,129.0000,192.3333
ENSRNOG00000001269,Ppp1cc,106.8710,2.2590,0.0026,0.0651,116.0000,141.0000,119.0000,109.0000,125.3333
ENSRNOG00000001300,P2rx4,111.8927,2.6008,0.0032,0.0693,77.0000,69.0000,75.0000,96.0000,73.6667
ENSRNOG00000001303,Specc1l,88.5955,2.1482,0.0038,0.0549,196.0000,172.0000,192.0000,87.0000,186.6667
ENSRNOG00000001304,Bcr,105.1166,2.3586,0.0035,0.0644,125.0000,118.0000,124.0000,90.0000,122.3333
ENSRNOG00000001379,Cyp3a62,108.7152,2.0460,0.0003,0.0665,104.0000,197.0000,106.0000,162.0000,135.6667
ENSRNOG00000001385,Plbd2,105.6099,2.5332,0.0022,0.0651,122.0000,81.0000,118.0000,115.0000,107.0000
