gene_names,ext_names,degree,closeness,betweenness,eigenvector,degRank,closeRank,eigRank,betRank,avgRank
ENSRNOG00000000034,Nuak2,157.7771,2.3110,0.0073,0.0473,213.0000,122.0000,202.0000,83.0000,179.0000
ENSRNOG00000000036,Klhdc8a,101.1868,1.6995,0.0002,0.0282,423.0000,425.0000,420.0000,370.0000,422.6667
ENSRNOG00000000040,Kiaa1614,138.6543,1.9211,0.0001,0.0401,310.0000,334.0000,316.0000,374.0000,320.0000
ENSRNOG00000000044,Tmem175,149.9267,2.3355,0.0188,0.0445,264.0000,104.0000,250.0000,24.0000,206.0000
ENSRNOG00000000081,Antxr2,184.3416,2.3893,0.0029,0.0549,92.0000,85.0000,92.0000,193.0000,89.6667
ENSRNOG00000000104,Thoc3,131.7647,1.8859,0.0010,0.0383,338.0000,352.0000,336.0000,293.0000,342.0000
ENSRNOG00000000129,Phf24,193.6305,2.3901,0.0114,0.0576,61.0000,83.0000,61.0000,48.0000,68.3333
ENSRNOG00000000142,Plxdc2,211.4603,2.4863,0.0022,0.0631,27.0000,53.0000,31.0000,231.0000,37.0000
ENSRNOG00000000150,Dnajc1,74.9216,1.5202,0.0000,0.0201,443.0000,446.0000,442.0000,388.0000,443.6667
ENSRNOG00000000155,Cog3,177.7337,2.2889,0.0057,0.0524,119.0000,136.0000,123.0000,104.0000,126.0000
ENSRNOG00000000157,Atg12,173.0753,1.9806,0.0004,0.0508,144.0000,299.0000,151.0000,350.0000,198.0000
ENSRNOG00000000221,Abhd5,153.5459,2.0875,0.0014,0.0445,242.0000,248.0000,253.0000,264.0000,247.6667
ENSRNOG00000000246,Amz2,179.6656,2.3652,0.0019,0.0540,109.0000,94.0000,99.0000,242.0000,100.6667
ENSRNOG00000000247,Mfsd11,75.2157,1.7204,0.0030,0.0195,441.0000,416.0000,443.0000,191.0000,433.3333
ENSRNOG00000000250,Jmjd6,257.5253,3.0025,0.0090,0.0759,1.0000,12.0000,1.0000,70.0000,4.6667
ENSRNOG00000000277,Tet1,189.1249,2.4460,0.0022,0.0570,79.0000,69.0000,67.0000,227.0000,71.6667
ENSRNOG00000000302,Sesn1,138.3498,1.9658,0.0022,0.0403,312.0000,306.0000,314.0000,228.0000,310.6667
ENSRNOG00000000304,Cd164,155.7358,2.2234,0.0038,0.0453,225.0000,175.0000,236.0000,160.0000,212.0000
ENSRNOG00000000307,Mical1,147.6388,2.1205,0.0025,0.0432,273.0000,227.0000,273.0000,213.0000,257.6667
ENSRNOG00000000314,Sec63,69.9773,1.5762,0.0003,0.0188,449.0000,439.0000,448.0000,356.0000,445.3333
ENSRNOG00000000321,Cd24,147.7472,2.3228,0.0112,0.0444,272.0000,114.0000,258.0000,52.0000,214.6667
ENSRNOG00000000322,Atg5,163.3416,2.1192,0.0017,0.0473,186.0000,230.0000,205.0000,251.0000,207.0000
ENSRNOG00000000395,Kifbp,194.2466,2.3115,0.0092,0.0569,59.0000,121.0000,68.0000,66.0000,82.6667
ENSRNOG00000000431,Atf6b,123.1569,1.6785,0.0003,0.0345,372.0000,426.0000,384.0000,358.0000,394.0000
ENSRNOG00000000457,Tap1,138.7730,1.8891,0.0001,0.0407,309.0000,349.0000,307.0000,375.0000,321.6667
