gene_names,ext_names,degree,closeness,betweenness,eigenvector,degRank,closeRank,eigRank,betRank,avgRank
ENSRNOG00000000007,Gad1,77.9216,1.9810,0.0358,0.0901,9.0000,2.0000,10.0000,2.0000,5.7500
ENSRNOG00000000098,Rnf115,50.6130,1.5928,0.0049,0.0581,175.0000,115.0000,178.0000,53.0000,130.2500
ENSRNOG00000000111,Coprs,47.5903,1.4498,0.0002,0.0541,211.0000,201.0000,213.0000,145.0000,192.5000
ENSRNOG00000000122,Ak2,19.2384,1.2012,0.0000,0.0208,226.0000,225.0000,226.0000,151.0000,207.0000
ENSRNOG00000000166,Apex2,52.4530,1.5054,0.0007,0.0599,158.0000,182.0000,161.0000,129.0000,157.5000
ENSRNOG00000000327,Hace1,52.7172,1.5489,0.0011,0.0595,155.0000,148.0000,163.0000,119.0000,146.2500
ENSRNOG00000000397,Ccar1,75.6295,1.7105,0.0055,0.0856,11.0000,54.0000,15.0000,45.0000,31.2500
ENSRNOG00000000473,Pfdn6,64.3240,1.7284,0.0046,0.0751,39.0000,48.0000,40.0000,59.0000,46.5000
ENSRNOG00000000483,Syngap1,50.2797,1.5659,0.0028,0.0564,178.0000,138.0000,189.0000,86.0000,147.7500
ENSRNOG00000000490,Rps10,74.5418,1.8693,0.0193,0.0860,13.0000,9.0000,13.0000,6.0000,10.2500
ENSRNOG00000000498,Anks1a,48.9453,1.3709,0.0000,0.0550,196.0000,221.0000,203.0000,151.0000,192.7500
ENSRNOG00000000505,Rpl10a,59.0599,1.6146,0.0009,0.0697,73.0000,101.0000,62.0000,122.0000,89.5000
ENSRNOG00000000511,Srpk1,57.9205,1.6767,0.0093,0.0645,85.0000,69.0000,103.0000,22.0000,69.7500
ENSRNOG00000000523,Ppil1,52.3808,1.5432,0.0000,0.0622,159.0000,154.0000,128.0000,151.0000,148.0000
ENSRNOG00000000551,Fam241b,49.8947,1.5645,0.0005,0.0588,186.0000,141.0000,168.0000,135.0000,157.5000
ENSRNOG00000000560,Lrrc20,52.8896,1.5038,0.0011,0.0594,151.0000,183.0000,166.0000,118.0000,154.5000
ENSRNOG00000000568,Slc29a3,66.7327,1.6402,0.0069,0.0759,29.0000,87.0000,34.0000,30.0000,45.0000
ENSRNOG00000000572,Chst3,63.5748,1.7574,0.0016,0.0735,41.0000,37.0000,44.0000,104.0000,56.5000
ENSRNOG00000000579,Marcks,57.1280,1.5989,0.0035,0.0643,95.0000,109.0000,108.0000,72.0000,96.0000
ENSRNOG00000000610,Cisd1,48.0991,1.4284,0.0019,0.0534,207.0000,207.0000,215.0000,97.0000,181.5000
ENSRNOG00000000633,Rhobtb1,51.0712,1.5081,0.0003,0.0586,173.0000,179.0000,169.0000,140.0000,165.2500
ENSRNOG00000000636,Rtkn2,53.4149,1.6195,0.0041,0.0603,142.0000,98.0000,154.0000,64.0000,114.5000
ENSRNOG00000000661,Hps4,86.3344,1.8629,0.0203,0.0992,3.0000,12.0000,3.0000,5.0000,5.7500
ENSRNOG00000000729,Tmlhe,53.0660,1.6108,0.0024,0.0614,150.0000,104.0000,146.0000,91.0000,122.7500
ENSRNOG00000000763,RT1-M3-1,50.4778,1.5908,0.0056,0.0556,176.0000,116.0000,197.0000,42.0000,132.7500
ENSRNOG00000000786,Rpp21,54.4097,1.5685,0.0022,0.0620,129.0000,135.0000,130.0000,94.0000,122.0000
ENSRNOG00000000800,Man1a1,54.0031,1.5323,0.0024,0.0614,136.0000,161.0000,145.0000,88.0000,132.5000
ENSRNOG00000000802,Tbc1d32,59.4376,1.6689,0.0008,0.0707,72.0000,72.0000,55.0000,128.0000,81.7500
ENSRNOG00000000853,Aif1,58.8194,1.7357,0.0098,0.0655,77.0000,44.0000,97.0000,21.0000,59.7500
ENSRNOG00000000867,Vars1,49.5243,1.5073,0.0009,0.0574,189.0000,181.0000,185.0000,124.0000,169.7500
ENSRNOG00000000893,Tmem248,59.5511,1.6866,0.0022,0.0697,70.0000,66.0000,63.0000,93.0000,73.0000
ENSRNOG00000000901,Crcp,47.0702,1.3898,0.0002,0.0533,213.0000,218.0000,216.0000,143.0000,197.5000
ENSRNOG00000000926,Mrps17,47.5026,1.4932,0.0003,0.0554,212.0000,188.0000,200.0000,141.0000,185.2500
ENSRNOG00000000936,Stx2,49.5903,1.5158,0.0002,0.0595,188.0000,172.0000,164.0000,144.0000,167.0000
ENSRNOG00000000963,Tmem132c,53.5759,1.6408,0.0027,0.0627,140.0000,85.0000,124.0000,87.0000,109.0000
ENSRNOG00000000964,Frg1l1,78.6388,1.7959,0.0054,0.0914,8.0000,21.0000,7.0000,46.0000,20.5000
ENSRNOG00000000985,Cpsf4l2,48.1001,1.4019,0.0000,0.0554,206.0000,215.0000,201.0000,150.0000,193.0000
ENSRNOG00000000987,Ptcd1,51.3849,1.5478,0.0001,0.0603,171.0000,149.0000,156.0000,148.0000,156.0000
ENSRNOG00000001003,Trappc5,74.2415,1.7715,0.0054,0.0854,15.0000,30.0000,16.0000,48.0000,27.2500
ENSRNOG00000001004,Ncor2,61.6832,1.7208,0.0003,0.0732,51.0000,50.0000,45.0000,141.0000,71.7500
ENSRNOG00000001040,Pms2,67.8586,1.7440,0.0064,0.0785,26.0000,41.0000,24.0000,36.0000,31.7500
ENSRNOG00000001060,Snrnp35,65.6698,1.7677,0.0132,0.0753,34.0000,31.0000,39.0000,15.0000,29.7500
ENSRNOG00000001074,Mphosph9,53.9876,1.5157,0.0006,0.0628,137.0000,173.0000,123.0000,133.0000,141.5000
ENSRNOG00000001099,Rbak,46.5944,1.4224,0.0005,0.0543,217.0000,208.0000,211.0000,136.0000,193.0000
ENSRNOG00000001101,Rnf216,50.8679,1.5424,0.0009,0.0586,174.0000,155.0000,170.0000,124.0000,155.7500
ENSRNOG00000001108,N4bp2l2,64.7492,1.7303,0.0006,0.0765,37.0000,46.0000,32.0000,131.0000,61.5000
ENSRNOG00000001114,Wipi2,48.4417,1.5658,0.0008,0.0562,203.0000,140.0000,192.0000,128.0000,165.7500
ENSRNOG00000001123,Spring1,50.1816,1.5615,0.0030,0.0560,181.0000,142.0000,194.0000,82.0000,149.7500
ENSRNOG00000001138,Taok3,52.0392,1.5337,0.0013,0.0582,163.0000,160.0000,175.0000,112.0000,152.5000
ENSRNOG00000001149,Pxn,52.1249,1.4948,0.0003,0.0603,162.0000,186.0000,155.0000,140.0000,160.7500
ENSRNOG00000001163,Srsf9,57.5707,1.6291,0.0052,0.0660,89.0000,92.0000,94.0000,50.0000,81.2500
ENSRNOG00000001173,Cabp1,56.1176,1.5470,0.0010,0.0635,105.0000,150.0000,117.0000,121.0000,123.2500
ENSRNOG00000001182,Ndufv3,57.0444,1.5987,0.0043,0.0631,96.0000,111.0000,119.0000,63.0000,97.2500
ENSRNOG00000001210,Pwp2,82.7255,1.9074,0.0152,0.0950,4.0000,7.0000,4.0000,9.0000,6.0000
ENSRNOG00000001235,Gna12,56.2601,1.5963,0.0001,0.0675,103.0000,113.0000,76.0000,148.0000,110.0000
ENSRNOG00000001249,Col6a1,60.9453,1.7586,0.0101,0.0705,58.0000,36.0000,58.0000,20.0000,43.0000
ENSRNOG00000001295,S100b,56.5232,1.6431,0.0054,0.0644,100.0000,82.0000,105.0000,49.0000,84.0000
ENSRNOG00000001314,Fam20c,52.7792,1.5519,0.0023,0.0604,154.0000,147.0000,152.0000,92.0000,136.2500
ENSRNOG00000001316,Anapc5,67.5026,1.7461,0.0070,0.0776,27.0000,39.0000,28.0000,28.0000,30.5000
ENSRNOG00000001335,Zkscan1,56.8194,1.9182,0.0055,0.0667,97.0000,6.0000,85.0000,45.0000,58.2500
ENSRNOG00000001346,Cops6,80.4479,1.8388,0.0105,0.0924,5.0000,14.0000,6.0000,18.0000,10.7500
ENSRNOG00000001368,Rph3a,55.1445,1.6335,0.0000,0.0664,114.0000,91.0000,89.0000,150.0000,111.0000
ENSRNOG00000001376,Tmt1a,27.0485,1.1997,0.0000,0.0299,225.0000,226.0000,225.0000,151.0000,206.7500
ENSRNOG00000001397,Rbm19,58.0506,1.7642,0.0190,0.0661,84.0000,33.0000,93.0000,7.0000,54.2500
ENSRNOG00000001408,Actl6b,53.4438,1.5162,0.0002,0.0603,141.0000,170.0000,153.0000,146.0000,152.5000
ENSRNOG00000001416,Vgf,57.6460,1.6586,0.0017,0.0672,87.0000,75.0000,79.0000,102.0000,85.7500
ENSRNOG00000001427,Orai2,46.1538,1.4613,0.0002,0.0529,218.0000,197.0000,218.0000,145.0000,194.5000
ENSRNOG00000001432,Dtx2,58.0630,1.6179,0.0019,0.0665,83.0000,99.0000,86.0000,98.0000,91.5000
ENSRNOG00000001441,Tmem120a,60.3117,1.6825,0.0046,0.0683,65.0000,68.0000,73.0000,57.0000,65.7500
ENSRNOG00000001443,Rhbdd2,54.4902,1.5111,0.0020,0.0615,127.0000,176.0000,140.0000,96.0000,134.7500
ENSRNOG00000001455,Kif13a,61.4985,1.7372,0.0024,0.0707,53.0000,43.0000,56.0000,91.0000,60.7500
ENSRNOG00000001457,Rfc2,61.1868,1.7901,0.0016,0.0717,57.0000,23.0000,52.0000,105.0000,59.2500
ENSRNOG00000001478,Gtf2ird1,58.6078,1.6391,0.0011,0.0687,79.0000,89.0000,72.0000,119.0000,89.7500
ENSRNOG00000001494,Napa,68.6770,1.7946,0.0060,0.0804,23.0000,22.0000,20.0000,38.0000,25.7500
ENSRNOG00000001517,Pdk1,51.5728,1.4528,0.0000,0.0592,169.0000,200.0000,167.0000,150.0000,171.5000
