gene_names,ext_names,degree,closeness,betweenness,eigenvector,degRank,closeRank,eigRank,betRank,avgRank
ENSRNOG00000000021,Fbxl14-ps1,64.2116,2.4725,0.0090,0.0836,71.0000,29.0000,68.0000,32.0000,50.0000
ENSRNOG00000000047,Cd82,69.1311,2.4559,0.0089,0.0910,43.0000,32.0000,37.0000,33.0000,36.2500
ENSRNOG00000000082,Hltf,59.5315,1.8927,0.0000,0.0743,95.0000,115.0000,100.0000,103.0000,103.2500
ENSRNOG00000000095,Gpr89b,47.2250,1.7378,0.0074,0.0564,136.0000,129.0000,138.0000,41.0000,111.0000
ENSRNOG00000000130,Dnajb5,47.6543,1.6358,0.0004,0.0592,134.0000,137.0000,133.0000,98.0000,125.5000
ENSRNOG00000000164,Lamp2,77.2012,2.3475,0.0083,0.0987,13.0000,46.0000,13.0000,34.0000,26.5000
ENSRNOG00000000168,Gatm,64.5562,2.1176,0.0016,0.0817,70.0000,85.0000,74.0000,81.0000,77.5000
ENSRNOG00000000169,Afg2b,59.5851,1.8729,0.0000,0.0767,94.0000,117.0000,94.0000,103.0000,102.0000
ENSRNOG00000000185,Mpst,60.6378,2.3667,0.0053,0.0801,91.0000,43.0000,84.0000,56.0000,68.5000
ENSRNOG00000000186,Tst,72.2879,2.2440,0.0020,0.0916,31.0000,66.0000,33.0000,76.0000,51.5000
ENSRNOG00000000230,Lmf1,69.5810,2.2882,0.0046,0.0892,39.0000,58.0000,40.0000,59.0000,49.0000
ENSRNOG00000000387,Slc25a16,55.6584,2.0599,0.0073,0.0723,109.0000,87.0000,107.0000,43.0000,86.5000
ENSRNOG00000000396,Ddx50,49.8566,1.9123,0.0022,0.0640,126.0000,111.0000,124.0000,74.0000,108.7500
ENSRNOG00000000411,Nus1,57.1806,2.0224,0.0023,0.0733,106.0000,91.0000,104.0000,73.0000,93.5000
ENSRNOG00000000412,Slc35f1,54.0660,1.8197,0.0001,0.0696,115.0000,120.0000,113.0000,102.0000,112.5000
ENSRNOG00000000414,Cep85l,28.8947,1.5133,0.0006,0.0312,159.0000,156.0000,159.0000,95.0000,142.2500
ENSRNOG00000000432,Fkbpl,42.1889,1.6289,0.0014,0.0512,142.0000,138.0000,141.0000,84.0000,126.2500
ENSRNOG00000000466,Hsd17b8,69.0857,2.3379,0.0113,0.0870,44.0000,48.0000,49.0000,23.0000,41.0000
ENSRNOG00000000493,Snrpc,48.4190,1.6252,0.0017,0.0575,132.0000,139.0000,135.0000,80.0000,121.5000
ENSRNOG00000000529,Pim1,55.4221,1.8101,0.0023,0.0697,110.0000,121.0000,112.0000,73.0000,104.0000
ENSRNOG00000000613,Tfam,74.4561,2.6199,0.0275,0.0971,21.0000,15.0000,18.0000,5.0000,14.7500
ENSRNOG00000000635,Arid5b,62.7121,1.9961,0.0001,0.0816,79.0000,100.0000,76.0000,102.0000,89.2500
ENSRNOG00000000640,Egr2,40.8576,1.5219,0.0023,0.0477,146.0000,152.0000,145.0000,72.0000,128.7500
ENSRNOG00000000645,Reep3,70.0640,2.6540,0.0069,0.0913,37.0000,11.0000,36.0000,45.0000,32.2500
ENSRNOG00000000805,Gja1,50.4850,1.7986,0.0001,0.0639,124.0000,125.0000,125.0000,102.0000,119.0000
ENSRNOG00000000808,Hsf2,79.5562,2.7876,0.0462,0.1013,7.0000,3.0000,8.0000,2.0000,5.0000
ENSRNOG00000000824,Dse,79.3416,2.4834,0.0082,0.1028,9.0000,26.0000,6.0000,35.0000,19.0000
ENSRNOG00000000841,Ddx39b,82.2497,2.5691,0.0139,0.1047,3.0000,19.0000,3.0000,19.0000,11.0000
ENSRNOG00000000923,Cct6a,57.7430,1.9276,0.0005,0.0740,102.0000,110.0000,102.0000,97.0000,102.7500
ENSRNOG00000000968,Rnf6,57.0743,2.0204,0.0015,0.0720,107.0000,92.0000,108.0000,82.0000,97.2500
ENSRNOG00000000999,Smurf1,65.3302,2.3208,0.0105,0.0859,65.0000,54.0000,54.0000,26.0000,49.7500
ENSRNOG00000001037,Gpalpp1,66.1538,2.6145,0.0179,0.0856,59.0000,16.0000,58.0000,13.0000,36.5000
