gene_names,ext_names,degree,closeness,betweenness,eigenvector,degRank,closeRank,eigRank,betRank,avgRank
ENSRNOG00000000041,Slc26a1,114.3261,2.5650,0.0085,0.0688,69.0000,79.0000,78.0000,47.0000,75.3333
ENSRNOG00000000043,Idua,113.5717,2.6652,0.0077,0.0689,75.0000,61.0000,75.0000,51.0000,70.3333
ENSRNOG00000000064,Atp5me,118.2497,2.6166,0.0084,0.0721,55.0000,73.0000,52.0000,49.0000,60.0000
ENSRNOG00000000075,Mtf2,84.9680,2.0582,0.0010,0.0515,207.0000,200.0000,205.0000,135.0000,204.0000
ENSRNOG00000000091,Smad9,73.6316,2.0326,0.0038,0.0438,233.0000,210.0000,233.0000,84.0000,225.3333
ENSRNOG00000000105,Cplx2,107.6192,2.3388,0.0053,0.0648,119.0000,128.0000,123.0000,71.0000,123.3333
ENSRNOG00000000133,Txndc15,98.2745,2.1737,0.0021,0.0583,159.0000,176.0000,171.0000,110.0000,168.6667
ENSRNOG00000000151,Ldlrap1,99.7121,2.2286,0.0026,0.0597,150.0000,154.0000,158.0000,99.0000,154.0000
ENSRNOG00000000158,Cdo1,117.3189,2.7103,0.0057,0.0710,57.0000,57.0000,59.0000,68.0000,57.6667
ENSRNOG00000000170,Slc30a4,76.1569,1.8994,0.0001,0.0461,229.0000,226.0000,228.0000,171.0000,227.6667
ENSRNOG00000000175,Mier2,41.4427,1.3604,0.0000,0.0239,250.0000,252.0000,250.0000,175.0000,250.6667
ENSRNOG00000000204,Syncrip,105.2508,2.2812,0.0005,0.0638,130.0000,142.0000,133.0000,156.0000,135.0000
ENSRNOG00000000219,Ano10,119.4479,2.8286,0.0059,0.0729,41.0000,36.0000,42.0000,65.0000,39.6667
ENSRNOG00000000264,Def8,95.6213,2.1949,0.0000,0.0589,173.0000,168.0000,163.0000,174.0000,168.0000
ENSRNOG00000000279,Rtn4ip1,112.9092,2.5520,0.0012,0.0689,78.0000,82.0000,73.0000,127.0000,77.6667
ENSRNOG00000000281,Prodh,119.3013,3.0127,0.0102,0.0735,43.0000,14.0000,34.0000,38.0000,30.3333
ENSRNOG00000000303,Cep57l1,91.7688,2.2247,0.0003,0.0559,190.0000,157.0000,187.0000,162.0000,178.0000
ENSRNOG00000000308,Zbtb24,121.5789,3.0473,0.0094,0.0742,29.0000,10.0000,31.0000,44.0000,23.3333
ENSRNOG00000000316,Sobp,102.3839,2.3679,0.0332,0.0609,142.0000,123.0000,147.0000,5.0000,137.3333
ENSRNOG00000000415,Asf1a,96.7740,2.3267,0.0007,0.0597,164.0000,130.0000,159.0000,144.0000,151.0000
ENSRNOG00000000417,Numa1,119.2735,2.7276,0.0144,0.0723,44.0000,55.0000,47.0000,24.0000,48.6667
ENSRNOG00000000421,Skic2,98.0547,2.4198,0.0007,0.0603,160.0000,109.0000,156.0000,145.0000,141.6667
ENSRNOG00000000437,Agpat1,101.3261,2.5130,0.0013,0.0624,145.0000,89.0000,140.0000,126.0000,124.6667
ENSRNOG00000000438,Rnf5,80.8762,1.7726,0.0002,0.0482,222.0000,233.0000,223.0000,168.0000,226.0000
ENSRNOG00000000442,Notch4,116.6151,2.9184,0.0040,0.0712,59.0000,24.0000,57.0000,82.0000,46.6667
ENSRNOG00000000487,Grm4,123.4788,3.0336,0.0192,0.0754,22.0000,12.0000,18.0000,15.0000,17.3333
