gene_names,ext_names,degree,closeness,betweenness,eigenvector,degRank,closeRank,eigRank,betRank,avgRank
ENSRNOG00000000108,Aga,29.9174,1.3645,0.0021,0.0984,29.0000,31.0000,27.0000,45.0000,33.0000
ENSRNOG00000000122,Ak2,21.8875,1.2267,0.0005,0.0570,117.0000,118.0000,121.0000,64.0000,105.0000
ENSRNOG00000000127,Kpna6,19.5511,1.1764,0.0000,0.0656,125.0000,134.0000,113.0000,69.0000,110.2500
ENSRNOG00000000138,Glis1,29.6295,1.3399,0.0028,0.0972,31.0000,42.0000,30.0000,40.0000,35.7500
ENSRNOG00000000187,Csf2rb,30.0815,1.3216,0.0015,0.0940,27.0000,52.0000,37.0000,50.0000,41.5000
ENSRNOG00000000190,Ep300,29.5191,1.3447,0.0270,0.0651,32.0000,39.0000,114.0000,1.0000,46.5000
ENSRNOG00000000245,Slc16a6,27.3323,1.3742,0.0041,0.0897,58.0000,27.0000,51.0000,28.0000,41.0000
ENSRNOG00000000262,Zfp821,25.5521,1.2895,0.0037,0.0685,82.0000,78.0000,111.0000,31.0000,75.5000
ENSRNOG00000000373,Ctnna3,19.8679,1.1892,0.0000,0.0660,123.0000,130.0000,112.0000,69.0000,108.5000
ENSRNOG00000000392,Supv3l1,10.7513,1.1197,0.0000,0.0227,144.0000,143.0000,143.0000,69.0000,124.7500
ENSRNOG00000000408,Gopc,15.8215,1.1784,0.0005,0.0375,131.0000,133.0000,133.0000,64.0000,115.2500
ENSRNOG00000000439,Ager,10.8896,1.1590,0.0000,0.0205,143.0000,138.0000,144.0000,69.0000,123.5000
ENSRNOG00000000481,Cuta,27.6213,1.3172,0.0021,0.0921,53.0000,54.0000,46.0000,45.0000,49.5000
ENSRNOG00000000506,Tead3,33.3364,1.3800,0.0048,0.1017,12.0000,25.0000,20.0000,24.0000,20.2500
ENSRNOG00000000596,Fyn,28.1610,1.3148,0.0012,0.0925,45.0000,55.0000,44.0000,55.0000,49.7500
ENSRNOG00000000695,Ssh1,36.1001,1.4299,0.0159,0.1125,5.0000,14.0000,9.0000,6.0000,8.5000
