gene_names,ext_names,degree,closeness,betweenness,eigenvector,degRank,closeRank,eigRank,betRank,avgRank
ENSRNOG00000000024,Hebp1,99.4211,1.7669,0.0000,0.0381,335.0000,342.0000,327.0000,299.0000,334.6667
ENSRNOG00000000033,Tmcc2,158.0526,2.3631,0.0044,0.0604,80.0000,102.0000,79.0000,116.0000,87.0000
ENSRNOG00000000042,Xpr1,109.9628,1.7307,0.0002,0.0404,316.0000,348.0000,320.0000,283.0000,328.0000
ENSRNOG00000000048,Gak,129.1383,2.1251,0.0017,0.0496,213.0000,193.0000,199.0000,198.0000,201.6667
ENSRNOG00000000053,Crp,126.3240,1.9639,0.0007,0.0482,229.0000,271.0000,222.0000,251.0000,240.6667
ENSRNOG00000000054,Abhd8,113.6976,1.9642,0.0002,0.0434,302.0000,270.0000,289.0000,282.0000,287.0000
ENSRNOG00000000062,Pcgf3,148.4138,2.4228,0.0016,0.0567,117.0000,85.0000,114.0000,203.0000,105.3333
ENSRNOG00000000066,Fbxo28,142.5583,2.3284,0.0126,0.0539,143.0000,114.0000,146.0000,43.0000,134.3333
ENSRNOG00000000112,Champ1,130.4850,1.9355,0.0011,0.0485,204.0000,289.0000,220.0000,220.0000,237.6667
ENSRNOG00000000145,Pik3r3,156.0000,2.5073,0.0040,0.0594,85.0000,73.0000,83.0000,125.0000,80.3333
ENSRNOG00000000156,Megf6,144.5800,2.0656,0.0021,0.0541,132.0000,214.0000,143.0000,173.0000,163.0000
ENSRNOG00000000161,Chm,136.0609,2.0630,0.0038,0.0512,179.0000,216.0000,184.0000,128.0000,193.0000
ENSRNOG00000000231,Kctd17,174.8896,2.6729,0.0090,0.0670,28.0000,38.0000,28.0000,61.0000,31.3333
ENSRNOG00000000237,C10h17orf75,101.3024,1.7414,0.0008,0.0381,330.0000,347.0000,326.0000,245.0000,334.3333
ENSRNOG00000000248,Srsf2,179.4561,2.8219,0.0091,0.0686,17.0000,25.0000,17.0000,59.0000,19.6667
ENSRNOG00000000257,Smpd3,128.7833,2.1371,0.0002,0.0496,214.0000,187.0000,198.0000,284.0000,199.6667
ENSRNOG00000000258,Prmt7,137.3240,2.1314,0.0009,0.0521,173.0000,191.0000,172.0000,233.0000,178.6667
ENSRNOG00000000274,Phyhipl,90.9216,1.6631,0.0002,0.0334,345.0000,352.0000,344.0000,285.0000,347.0000
ENSRNOG00000000283,Ess2,121.5862,1.9022,0.0028,0.0449,256.0000,306.0000,266.0000,158.0000,276.0000
ENSRNOG00000000299,Foxo3,185.8968,2.9930,0.0410,0.0712,9.0000,14.0000,9.0000,7.0000,10.6667
ENSRNOG00000000312,Fig4,140.7141,2.1273,0.0004,0.0529,155.0000,192.0000,161.0000,270.0000,169.3333
ENSRNOG00000000340,Rtraf,166.5841,2.8409,0.0038,0.0649,47.0000,22.0000,39.0000,131.0000,36.0000
ENSRNOG00000000341,Nid2,65.1445,1.6409,0.0001,0.0221,358.0000,355.0000,359.0000,294.0000,357.3333
ENSRNOG00000000398,Zup1,144.0279,2.3015,0.0019,0.0550,136.0000,125.0000,133.0000,188.0000,131.3333
ENSRNOG00000000407,Dcbld1,114.5996,1.9027,0.0007,0.0440,295.0000,305.0000,283.0000,257.0000,294.3333
ENSRNOG00000000420,Nelfe,174.4200,2.5837,0.0034,0.0669,30.0000,58.0000,30.0000,141.0000,39.3333
ENSRNOG00000000433,Prrt1,118.3560,1.8444,0.0002,0.0447,275.0000,326.0000,271.0000,286.0000,290.6667
ENSRNOG00000000435,Ppt2,128.2023,2.0871,0.0029,0.0485,217.0000,205.0000,219.0000,154.0000,213.6667
ENSRNOG00000000440,Pbx2,134.3313,2.0403,0.0013,0.0510,185.0000,234.0000,185.0000,212.0000,201.3333
ENSRNOG00000000455,Tap2,60.1176,1.7743,0.0003,0.0206,362.0000,340.0000,361.0000,279.0000,354.3333
ENSRNOG00000000461,Brd2,151.4097,2.4862,0.0044,0.0572,104.0000,76.0000,107.0000,117.0000,95.6667
ENSRNOG00000000464,Rxrb,94.8896,1.7602,0.0006,0.0345,342.0000,343.0000,342.0000,258.0000,342.3333
ENSRNOG00000000465,Slc39a7,110.8782,1.9048,0.0003,0.0418,312.0000,304.0000,313.0000,277.0000,309.6667
ENSRNOG00000000467,Ring1,149.0888,2.2550,0.0060,0.0569,113.0000,137.0000,112.0000,95.0000,120.6667
ENSRNOG00000000470,Vps52,127.4850,1.9994,0.0010,0.0487,224.0000,251.0000,215.0000,230.0000,230.0000
ENSRNOG00000000476,Zbtb22,147.4644,2.1873,0.0008,0.0565,121.0000,158.0000,117.0000,241.0000,132.0000
ENSRNOG00000000488,Hmga1,145.9061,2.1403,0.0034,0.0552,125.0000,184.0000,130.0000,142.0000,146.3333
ENSRNOG00000000495,Bltp3a,152.3323,2.4171,0.0007,0.0586,98.0000,87.0000,90.0000,252.0000,91.6667
ENSRNOG00000000504,Fance,156.9649,2.4283,0.0110,0.0593,82.0000,81.0000,84.0000,48.0000,82.3333
ENSRNOG00000000512,Slc26a8,124.9886,1.9782,0.0000,0.0474,241.0000,262.0000,237.0000,299.0000,246.6667
ENSRNOG00000000513,Mapk14,183.2002,2.9874,0.0360,0.0702,11.0000,15.0000,12.0000,12.0000,12.6667
ENSRNOG00000000517,Kctd20,59.0774,1.7974,0.0000,0.0201,364.0000,333.0000,365.0000,299.0000,354.0000
ENSRNOG00000000527,Mtch1,88.1961,1.7927,0.0033,0.0312,347.0000,336.0000,347.0000,144.0000,343.3333
ENSRNOG00000000532,Cmtr1,131.5263,2.1066,0.0036,0.0501,194.0000,202.0000,194.0000,134.0000,196.6667
ENSRNOG00000000547,Tspyl4,121.5862,2.0446,0.0073,0.0454,257.0000,230.0000,259.0000,80.0000,248.6667
ENSRNOG00000000552,Col13a1,113.4892,1.9827,0.0011,0.0427,303.0000,261.0000,299.0000,221.0000,287.6667
ENSRNOG00000000561,Pald1,114.2910,1.8745,0.0002,0.0435,297.0000,318.0000,287.0000,283.0000,300.6667
ENSRNOG00000000565,Sgpl1,139.9690,2.1022,0.0054,0.0525,159.0000,203.0000,165.0000,103.0000,175.6667
ENSRNOG00000000567,Unc5b,133.8142,2.0490,0.0069,0.0503,186.0000,226.0000,191.0000,83.0000,201.0000
ENSRNOG00000000581,Cdc40,161.6347,2.4879,0.0078,0.0615,67.0000,74.0000,68.0000,70.0000,69.6667
ENSRNOG00000000582,Ddo,116.0175,1.9097,0.0036,0.0444,286.0000,299.0000,276.0000,133.0000,287.0000
ENSRNOG00000000583,Cdk19,133.3612,2.1331,0.0013,0.0507,189.0000,188.0000,189.0000,211.0000,188.6667
