gene_names,ext_names,degree,closeness,betweenness,eigenvector,degRank,closeRank,eigRank,betRank,avgRank
ENSRNOG00000000021,Fbxl14-ps1,129.4572,2.0481,0.0016,0.0452,265.0000,173.0000,262.0000,191.0000,233.3333
ENSRNOG00000000041,Slc26a1,162.9618,2.2313,0.0077,0.0580,65.0000,78.0000,72.0000,48.0000,71.6667
ENSRNOG00000000043,Idua,165.0784,2.3328,0.0051,0.0585,56.0000,51.0000,68.0000,78.0000,58.3333
ENSRNOG00000000047,Cd82,142.4551,1.9964,0.0025,0.0499,190.0000,211.0000,194.0000,148.0000,198.3333
ENSRNOG00000000064,Atp5me,161.2147,2.2255,0.0039,0.0580,77.0000,81.0000,71.0000,103.0000,76.3333
ENSRNOG00000000073,Tmed5,135.6347,1.9133,0.0024,0.0480,224.0000,268.0000,224.0000,150.0000,238.6667
ENSRNOG00000000075,Mtf2,120.8885,1.8827,0.0013,0.0427,305.0000,290.0000,295.0000,210.0000,296.6667
ENSRNOG00000000082,Hltf,121.6543,1.6840,0.0001,0.0416,301.0000,361.0000,318.0000,312.0000,326.6667
ENSRNOG00000000091,Smad9,111.2663,1.9150,0.0058,0.0382,346.0000,266.0000,348.0000,64.0000,320.0000
ENSRNOG00000000095,Gpr89b,91.1207,1.6277,0.0026,0.0291,390.0000,376.0000,394.0000,146.0000,386.6667
ENSRNOG00000000105,Cplx2,150.7255,2.0610,0.0029,0.0536,138.0000,162.0000,140.0000,133.0000,146.6667
ENSRNOG00000000130,Dnajb5,93.7203,1.4965,0.0001,0.0314,386.0000,405.0000,386.0000,311.0000,392.3333
ENSRNOG00000000133,Txndc15,133.9453,1.9272,0.0009,0.0473,237.0000,259.0000,234.0000,239.0000,243.3333
ENSRNOG00000000151,Ldlrap1,134.8803,1.9474,0.0014,0.0480,227.0000,247.0000,223.0000,202.0000,232.3333
ENSRNOG00000000158,Cdo1,164.4902,2.3032,0.0052,0.0588,59.0000,61.0000,61.0000,75.0000,60.3333
ENSRNOG00000000164,Lamp2,171.2590,2.0621,0.0041,0.0595,31.0000,161.0000,49.0000,96.0000,80.3333
ENSRNOG00000000168,Gatm,129.5759,1.8950,0.0010,0.0448,264.0000,282.0000,271.0000,233.0000,272.3333
ENSRNOG00000000169,Afg2b,134.6729,1.7074,0.0001,0.0470,229.0000,357.0000,238.0000,308.0000,274.6667
ENSRNOG00000000170,Slc30a4,110.8277,1.7635,0.0003,0.0393,348.0000,346.0000,341.0000,294.0000,345.0000
ENSRNOG00000000175,Mier2,70.0599,1.4821,0.0001,0.0228,409.0000,406.0000,409.0000,309.0000,408.0000
ENSRNOG00000000185,Mpst,121.8318,2.0713,0.0013,0.0428,300.0000,155.0000,293.0000,211.0000,249.3333
ENSRNOG00000000186,Tst,146.0227,1.9012,0.0011,0.0503,172.0000,279.0000,184.0000,221.0000,211.6667
ENSRNOG00000000204,Syncrip,149.7399,1.9783,0.0004,0.0534,146.0000,224.0000,142.0000,287.0000,170.6667
ENSRNOG00000000219,Ano10,167.7678,2.3958,0.0039,0.0607,43.0000,37.0000,34.0000,100.0000,38.0000
ENSRNOG00000000230,Lmf1,146.3426,2.1391,0.0094,0.0503,167.0000,114.0000,185.0000,32.0000,155.3333
ENSRNOG00000000264,Def8,132.4004,1.9887,0.0017,0.0479,245.0000,215.0000,226.0000,184.0000,228.6667
ENSRNOG00000000279,Rtn4ip1,157.8958,2.2023,0.0012,0.0572,93.0000,89.0000,81.0000,214.0000,87.6667
ENSRNOG00000000281,Prodh,163.5676,2.5405,0.0115,0.0592,62.0000,9.0000,54.0000,21.0000,41.6667
ENSRNOG00000000303,Cep57l1,128.8369,1.9695,0.0007,0.0462,268.0000,230.0000,249.0000,259.0000,249.0000
