gene_names,ext_names,degree,closeness,betweenness,eigenvector,degRank,closeRank,eigRank,betRank,avgRank
ENSRNOG00000000034,Nuak2,158.2085,2.3102,0.0075,0.0473,215.0000,120.0000,203.0000,80.0000,179.3333
ENSRNOG00000000036,Klhdc8a,101.5986,1.7004,0.0002,0.0282,425.0000,426.0000,421.0000,376.0000,424.0000
ENSRNOG00000000040,Kiaa1614,139.5769,1.9227,0.0001,0.0402,308.0000,333.0000,315.0000,381.0000,318.6667
ENSRNOG00000000044,Tmem175,150.4572,2.3338,0.0187,0.0446,265.0000,104.0000,251.0000,24.0000,206.6667
ENSRNOG00000000081,Antxr2,185.0764,2.3874,0.0029,0.0549,91.0000,85.0000,91.0000,194.0000,89.0000
ENSRNOG00000000104,Thoc3,132.3901,1.8884,0.0010,0.0383,336.0000,353.0000,336.0000,301.0000,341.6667
ENSRNOG00000000129,Phf24,195.1496,2.3898,0.0118,0.0578,57.0000,82.0000,57.0000,49.0000,65.3333
ENSRNOG00000000142,Plxdc2,211.5738,2.4802,0.0022,0.0630,27.0000,53.0000,31.0000,234.0000,37.0000
ENSRNOG00000000150,Dnajc1,75.1723,1.5205,0.0000,0.0201,445.0000,447.0000,445.0000,395.0000,445.6667
ENSRNOG00000000155,Cog3,178.0021,2.2903,0.0057,0.0524,119.0000,136.0000,124.0000,106.0000,126.3333
ENSRNOG00000000157,Atg12,173.2859,1.9774,0.0004,0.0508,144.0000,301.0000,152.0000,357.0000,199.0000
ENSRNOG00000000221,Abhd5,153.8462,2.0901,0.0014,0.0445,241.0000,247.0000,252.0000,271.0000,246.6667
ENSRNOG00000000246,Amz2,179.2663,2.3589,0.0015,0.0539,111.0000,95.0000,101.0000,269.0000,102.3333
ENSRNOG00000000247,Mfsd11,74.4706,1.7117,0.0023,0.0194,446.0000,421.0000,446.0000,226.0000,437.6667
ENSRNOG00000000250,Jmjd6,258.1125,2.9920,0.0085,0.0759,1.0000,12.0000,1.0000,73.0000,4.6667
ENSRNOG00000000277,Tet1,189.3581,2.4449,0.0023,0.0570,80.0000,69.0000,67.0000,225.0000,72.0000
ENSRNOG00000000302,Sesn1,138.3736,1.9639,0.0022,0.0402,315.0000,307.0000,314.0000,230.0000,312.0000
ENSRNOG00000000304,Cd164,155.8462,2.2246,0.0036,0.0453,226.0000,176.0000,238.0000,166.0000,213.3333
ENSRNOG00000000307,Mical1,149.1703,2.1225,0.0026,0.0434,268.0000,226.0000,272.0000,212.0000,255.3333
ENSRNOG00000000314,Sec63,69.7049,1.5750,0.0003,0.0188,452.0000,440.0000,449.0000,362.0000,447.0000
ENSRNOG00000000321,Cd24,147.9484,2.3203,0.0110,0.0444,275.0000,114.0000,258.0000,52.0000,215.6667
ENSRNOG00000000322,Atg5,164.1631,2.1221,0.0017,0.0473,186.0000,228.0000,201.0000,255.0000,205.0000
ENSRNOG00000000395,Kifbp,194.8813,2.3090,0.0092,0.0569,60.0000,121.0000,68.0000,67.0000,83.0000
ENSRNOG00000000431,Atf6b,124.5810,1.6966,0.0004,0.0347,368.0000,427.0000,381.0000,354.0000,392.0000
ENSRNOG00000000457,Tap1,139.1548,1.8886,0.0001,0.0408,310.0000,352.0000,306.0000,381.0000,322.6667
ENSRNOG00000000463,Col11a2,156.1641,1.9311,0.0005,0.0460,223.0000,329.0000,218.0000,343.0000,256.6667
ENSRNOG00000000474,Ralgdsl2,114.5872,1.6341,0.0000,0.0337,402.0000,433.0000,396.0000,391.0000,410.3333
ENSRNOG00000000477,Daxx,211.6089,2.6678,0.0021,0.0635,26.0000,37.0000,26.0000,237.0000,29.6667
ENSRNOG00000000480,Phf1,202.9329,2.6769,0.0522,0.0595,36.0000,34.0000,44.0000,1.0000,38.0000
ENSRNOG00000000502,Def6,121.8751,1.7094,0.0003,0.0353,382.0000,422.0000,375.0000,361.0000,393.0000
ENSRNOG00000000503,Ppard,114.7833,1.7810,0.0009,0.0324,401.0000,401.0000,403.0000,304.0000,401.6667
ENSRNOG00000000520,Srsf3,167.1672,2.3315,0.0131,0.0500,175.0000,105.0000,166.0000,42.0000,148.6667
ENSRNOG00000000521,Cdkn1a,135.9969,2.0110,0.0007,0.0398,319.0000,289.0000,317.0000,324.0000,308.3333
ENSRNOG00000000524,C20h6orf89,166.0041,2.2082,0.0036,0.0493,181.0000,186.0000,174.0000,170.0000,180.3333
ENSRNOG00000000528,Fgd2,222.0846,2.5434,0.0382,0.0651,14.0000,46.0000,19.0000,6.0000,26.3333
ENSRNOG00000000540,Btbd9,211.3612,2.9406,0.0024,0.0643,28.0000,16.0000,22.0000,223.0000,22.0000
ENSRNOG00000000546,Nt5dc1,146.9598,2.1621,0.0104,0.0425,279.0000,205.0000,284.0000,57.0000,256.0000
ENSRNOG00000000569,Vsir,115.8019,1.7129,0.0000,0.0342,397.0000,419.0000,388.0000,394.0000,401.3333
ENSRNOG00000000571,Psap,120.0671,1.7923,0.0005,0.0343,388.0000,396.0000,385.0000,345.0000,389.6667
ENSRNOG00000000576,Anapc16,132.3364,1.8993,0.0006,0.0386,338.0000,344.0000,328.0000,335.0000,336.6667
ENSRNOG00000000587,Rpf2,122.6078,1.7759,0.0020,0.0349,378.0000,402.0000,379.0000,241.0000,386.3333
ENSRNOG00000000593,Rev3l,153.7977,2.2775,0.0014,0.0456,244.0000,140.0000,230.0000,270.0000,204.6667
ENSRNOG00000000604,Hdac2,212.9123,2.8156,0.0081,0.0638,24.0000,19.0000,24.0000,77.0000,22.3333
ENSRNOG00000000611,Ube2d1,85.2590,1.5111,0.0000,0.0229,441.0000,449.0000,441.0000,389.0000,443.6667
ENSRNOG00000000614,Bicc1,155.5521,2.1407,0.0004,0.0462,227.0000,215.0000,215.0000,349.0000,219.0000
ENSRNOG00000000657,Nek7,170.1434,2.1776,0.0007,0.0511,161.0000,196.0000,146.0000,325.0000,167.6667
