gene_names,ext_names,degree,closeness,betweenness,eigenvector,degRank,closeRank,eigRank,betRank,avgRank
ENSRNOG00000000007,Gad1,109.7967,1.9436,0.0194,0.0671,13.0000,22.0000,13.0000,12.0000,16.0000
ENSRNOG00000000098,Rnf115,94.8524,2.0664,0.0245,0.0595,78.0000,7.0000,57.0000,8.0000,47.3333
ENSRNOG00000000108,Aga,74.0970,1.4797,0.0004,0.0438,329.0000,320.0000,331.0000,250.0000,326.6667
ENSRNOG00000000111,Coprs,90.9298,1.7526,0.0021,0.0559,119.0000,82.0000,104.0000,149.0000,101.6667
ENSRNOG00000000122,Ak2,40.9009,1.2843,0.0001,0.0199,358.0000,349.0000,354.0000,274.0000,353.6667
ENSRNOG00000000127,Kpna6,77.1166,1.6797,0.0002,0.0481,313.0000,138.0000,283.0000,263.0000,244.6667
ENSRNOG00000000138,Glis1,88.0578,1.6534,0.0007,0.0538,163.0000,164.0000,149.0000,234.0000,158.6667
ENSRNOG00000000166,Apex2,96.8648,1.7204,0.0003,0.0595,66.0000,110.0000,56.0000,259.0000,77.3333
ENSRNOG00000000187,Csf2rb,77.6244,1.4495,0.0001,0.0454,308.0000,326.0000,324.0000,271.0000,319.3333
ENSRNOG00000000190,Ep300,49.2208,1.2955,0.0060,0.0197,348.0000,347.0000,355.0000,60.0000,350.0000
ENSRNOG00000000245,Slc16a6,94.7389,1.8450,0.0052,0.0582,82.0000,45.0000,68.0000,68.0000,65.0000
ENSRNOG00000000262,Zfp821,50.4737,1.2888,0.0010,0.0251,345.0000,348.0000,344.0000,210.0000,345.6667
ENSRNOG00000000316,Sobp,97.1228,1.7728,0.0052,0.0584,62.0000,71.0000,64.0000,70.0000,65.6667
ENSRNOG00000000327,Hace1,81.5439,1.5305,0.0013,0.0468,263.0000,292.0000,305.0000,191.0000,286.6667
ENSRNOG00000000373,Ctnna3,73.2188,1.5207,0.0001,0.0456,331.0000,298.0000,321.0000,277.0000,316.6667
ENSRNOG00000000392,Supv3l1,21.8958,1.1044,0.0000,0.0090,380.0000,381.0000,378.0000,281.0000,379.6667
ENSRNOG00000000397,Ccar1,107.5397,1.6486,0.0020,0.0624,19.0000,171.0000,34.0000,154.0000,74.6667
ENSRNOG00000000408,Gopc,30.3498,1.2009,0.0001,0.0131,368.0000,371.0000,367.0000,275.0000,368.6667
ENSRNOG00000000414,Cep85l,64.6625,1.4438,0.0062,0.0328,336.0000,330.0000,336.0000,57.0000,334.0000
ENSRNOG00000000439,Ager,15.3333,1.1151,0.0000,0.0042,381.0000,380.0000,381.0000,281.0000,380.6667
ENSRNOG00000000473,Pfdn6,88.8246,1.6333,0.0021,0.0527,151.0000,185.0000,169.0000,146.0000,168.3333
ENSRNOG00000000481,Cuta,88.2528,1.7371,0.0056,0.0539,159.0000,95.0000,148.0000,65.0000,134.0000
ENSRNOG00000000483,Syngap1,91.5294,1.6621,0.0028,0.0561,109.0000,147.0000,98.0000,120.0000,118.0000
ENSRNOG00000000498,Anks1a,76.9649,1.3919,0.0000,0.0447,315.0000,335.0000,328.0000,280.0000,326.0000
ENSRNOG00000000505,Rpl10a,84.0062,1.5632,0.0003,0.0516,219.0000,252.0000,192.0000,260.0000,221.0000
ENSRNOG00000000506,Tead3,80.9247,1.5617,0.0019,0.0465,270.0000,255.0000,307.0000,158.0000,277.3333
ENSRNOG00000000511,Srpk1,86.4324,1.6380,0.0035,0.0516,178.0000,182.0000,195.0000,104.0000,185.0000
